"Source","Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB","MaxFileMiB","SampleText","SampleBinary","SampleUnknown","Classification"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".anim","9","0,959","0,275","0","9","0","Binary"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".asset","530","0,727","0,023","12","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".dds","1172","1529,516","5,333","0","12","0","Binary"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".gui","3","0,006","0,004","3","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".md","1","0,001","0,001","1","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".mesh","1138","392,763","5,637","0","12","0","Binary"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".png","2","0,647","0,463","0","2","0","Binary"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".txt","117","2,029","0,111","12","0","0","Text"
"LocalRepoWorkingTree","Community-Flavor-Pack","CFP","2220098919",".yml","99","0,783","0,062","12","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".anim","9","0,959","0,275","0","9","0","Binary"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".asset","530","0,727","0,023","12","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".dds","1172","1529,516","5,333","0","12","0","Binary"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".gitattributes","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".gitignore","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".gui","3","0,006","0,004","3","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".md","1","0,001","0,001","1","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".mesh","1138","392,763","5,637","0","12","0","Binary"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".mod","1","0","0","1","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".png","2","0,647","0,463","0","2","0","Binary"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".sample","14","0,025","0,005","12","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".txt","117","2,045","0,114","12","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919",".yml","99","0,783","0,062","12","0","0","Text"
"SteamWorkshopCurrent","Community-Flavor-Pack","CFP","2220098919","<no-extension>","323","1,024","0,134","0","12","0","Binary"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".dds","14","0,623","0,1","0","12","0","Binary"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".gui","10","0,198","0,098","10","0","0","Text"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".gui_old","2","0,079","0,044","2","0","0","Text"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".mod","1","0","0","1","0","0","Text"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".png","1","0,352","0,352","0","1","0","Binary"
"LocalRepoWorkingTree","Culture-and-Faith-Granularity","CFG","3206891770",".txt","163","3,286","0,59","12","0","0","Text"
