"Repo","Abbreviation","WorkshopId","Line","Rule"
"Community-Flavor-Pack","CFP","2220098919","1","*.asset"
"Community-Flavor-Pack","CFP","2220098919","2","*.dds"
"Community-Flavor-Pack","CFP","2220098919","3","*.jpg"
"Community-Flavor-Pack","CFP","2220098919","4","*.mesh"
"Community-Flavor-Pack","CFP","2220098919","5","*.png"
"Culture-and-Faith-Granularity","CFG","3206891770","1","*.asset"
"Culture-and-Faith-Granularity","CFG","3206891770","2","*.dds"
"Culture-and-Faith-Granularity","CFG","3206891770","3","*.jpg"
"Culture-and-Faith-Granularity","CFG","3206891770","4","*.mesh"
"Culture-and-Faith-Granularity","CFG","3206891770","5","*.png"
"Culture-Expanded","CE","2829397295","1","*.asset"
"Culture-Expanded","CE","2829397295","2","*.dds"
"Culture-Expanded","CE","2829397295","3","*.jpg"
"Culture-Expanded","CE","2829397295","4","*.mesh"
"Culture-Expanded","CE","2829397295","5","*.png"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","1","*.asset"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2","*.dds"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","3","*.jpg"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","4","*.mesh"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","5","*.png"
"RICE","RICE","2273832430","1","*.asset"
"RICE","RICE","2273832430","2","*.dds"
"RICE","RICE","2273832430","3","*.jpg"
"RICE","RICE","2273832430","4","*.mesh"
"RICE","RICE","2273832430","5","*.png"
"Special-World","SW","2875587269","1","*.asset"
"Special-World","SW","2875587269","2","*.dds"
"Special-World","SW","2875587269","3","*.jpg"
"Special-World","SW","2875587269","4","*.mesh"
"Special-World","SW","2875587269","5","*.png"
"Western-Steppe-Expanded","WSE","3490396842","1","*.asset"
"Western-Steppe-Expanded","WSE","3490396842","2","*.dds"
"Western-Steppe-Expanded","WSE","3490396842","3","*.jpg"
"Western-Steppe-Expanded","WSE","3490396842","4","*.mesh"
"Western-Steppe-Expanded","WSE","3490396842","5","*.png"
