"Repo","Abbreviation","WorkshopId","Extension","FileCount","TotalMiB"
"Community-Flavor-Pack","CFP","2220098919",".asset","530","0,727"
"Community-Flavor-Pack","CFP","2220098919",".dds","1172","1529,516"
"Community-Flavor-Pack","CFP","2220098919",".mesh","1138","392,763"
"Community-Flavor-Pack","CFP","2220098919",".png","2","0,647"
"Culture-and-Faith-Granularity","CFG","3206891770",".dds","14","0,623"
"Culture-and-Faith-Granularity","CFG","3206891770",".png","1","0,352"
"Culture-Expanded","CE","2829397295",".dds","145","29,023"
"Culture-Expanded","CE","2829397295",".png","1","0,65"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".asset","742","3,963"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".dds","2888","2440,338"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".mesh","1334","589,987"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".png","2","0,669"
"MPE","MPE","3726274827",".dds","5120","372,487"
"MPE","MPE","3726274827",".gitignore","1","0"
"MPE","MPE","3726274827",".jpg","1","0,062"
"MPE","MPE","3726274827",".png","29","1,192"
"MPE","MPE","3726274827",".tga","1","0,095"
"MPE","MPE","3726274827",".txt","4","0,213"
"RICE","RICE","2273832430",".asset","2","0,004"
"RICE","RICE","2273832430",".dds","1968","738,075"
"RICE","RICE","2273832430",".jpg","2","1,749"
"RICE","RICE","2273832430",".mesh","2","1,972"
"RICE","RICE","2273832430",".png","1","0,277"
"Special-World","SW","2875587269",".asset","276","1,671"
"Special-World","SW","2875587269",".dds","1873","1389,54"
"Special-World","SW","2875587269",".mesh","491","355,942"
"Special-World","SW","2875587269",".png","21","14,312"
"Western-Steppe-Expanded","WSE","3490396842",".dds","17","12,582"
"Western-Steppe-Expanded","WSE","3490396842",".png","1","0,329"
