"Source","Repo","Abbreviation","WorkshopId","RelativePath","Extension","SizeMiB","Over100MiB"
"SteamWorkshopCurrent","Ethnicities-and-Portraits-Expanded","EPE","2507209632",".git\objects\pack\pack-a45f3ddb77731859314b02d2c3ec84b042c0ed4d.pack",".pack","305,759","True"
"SteamWorkshopCurrent","MPE","MPE","3726274827",".git\objects\pack\pack-6399861a137e64c9f65fb85337a602cb3053e057.pack",".pack","12,307","False"
"SteamWorkshopCurrent","RICE","RICE","2273832430",".git\objects\pack\pack-39d91b3d6d260ba51b5357c79644c87bbaf49718.pack",".pack","509,206","True"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\special\asen_fortress\t_asen_fortress_unique.dds",".dds","21,333","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\special\laach_abbey\t_laach_abbey_unique.dds",".dds","21,333","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_diffuse.dds",".dds","21,333","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_normal.dds",".dds","21,333","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_properties.dds",".dds","21,333","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\holdings\baghdad_05\circle_city_05.mesh",".mesh","15,372","False"
"LocalRepoWorkingTree","Special-World","SW","2875587269","gfx\models\buildings\holdings\cow3_sprawl\walls_04_carthage.mesh",".mesh","12,737","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269",".git\objects\pack\pack-e69917d5bf74e9fa00bfc0721019d6499571ae32.pack",".pack","26,731","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\special\asen_fortress\t_asen_fortress_unique.dds",".dds","21,333","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\special\laach_abbey\t_laach_abbey_unique.dds",".dds","21,333","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_diffuse.dds",".dds","21,333","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_normal.dds",".dds","21,333","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\special\mont_saint_michel\mont_saint_michel_02_properties.dds",".dds","21,333","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\holdings\baghdad_05\circle_city_05.mesh",".mesh","15,372","False"
"SteamWorkshopCurrent","Special-World","SW","2875587269","gfx\models\buildings\holdings\cow3_sprawl\walls_04_carthage.mesh",".mesh","12,737","False"
