"Repo","LocalFolder","AbbreviationCandidate","WorkshopIdExpected","WorkshopIdDescriptor","ModNameDescriptor","ModVersionDescriptor","SupportedVersion","Origin","CommitCount","DirtyStatusEntries","LocalFiles","LocalWorkingTreeMiB","TrackedFiles","TrackedCurrentMiB","IgnoredFilesPresent","IgnoredCurrentMiB","SteamFolder","SteamCurrentFiles","SteamCurrentMiB"
"Community-Flavor-Pack","Yusseter Community-Flavor-Pack","CFP","2220098919","2220098919","Community Flavor Pack","3.3.5","1.18.*","https://github.com/Yusseter/Community-Flavor-Pack.git","3","0","3073","1927,431","231","3,778","2842","1923,653","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2220098919","3411","1928,496"
"Culture-and-Faith-Granularity","Yusseter Culture-and-Faith-Granularity","CFG","3206891770","3206891770","[Kei] Culture and Faith Granularity","2.3.0 - CK 1.18","1.18.*","https://github.com/Yusseter/Culture-and-Faith-Granularity.git","3","0","247","4,722","232","3,747","15","0,975","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3206891770","829","6,372"
"Culture-Expanded","Yusseter Culture-Expanded","CE","2829397295","2829397295","Culture Expanded","1.0","1.19.0.6","https://github.com/Yusseter/Culture-Expanded.git","7","0","794","39,514","648","9,84","146","29,673","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2829397295","1701","42,443"
"Demand-Tribute","Yusseter Demand-Tribute","DT","3473488611","3473488611","Demand Tribute","1.1","1.18.*","https://github.com/Yusseter/3473488611.git","2","0","16","0,532","16","0,532","0","0","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3473488611","198","2,851"
"EPE-CFP","Yusseter EPE-CFP","EPE-CFP","2996881191","2996881191","CFP + EPE Compatibility Patch","5.2.0","1.19.0.6","https://github.com/Yusseter/EPE-CFP.git","10","0","47","3,007","47","3,007","0","0","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2996881191","266","6,016"
"Ethnicities-and-Portraits-Expanded","Yusseter Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632","Ethnicities and Portraits Expanded","1.0","1.19.0.6","https://github.com/Yusseter/Ethnicities-and-Portraits-Expanded.git","16","0","9634","3637,162","4668","602,205","4966","3034,957","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2507209632","9672","3952,454"
"MBP-EPE-CFP","Yusseter MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921","MB + EPE/CFP","1.0","1.19.0.6","https://github.com/Yusseter/MBP-EPE-CFP.git","6","0","316","4,919","316","4,919","0","0","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2543865921","738","7,123"
"MedievalImmersion","Yusseter MedievalImmersion","MI","3268020725","3268020725","MedievalImmersion","1.**","1.19.0.6","https://github.com/Yusseter/MedievalImmersion.git","4","0","319","31,75","319","31,75","0","0","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3268020725","319","31,75"
"MPE","Yusseter MPE","MPE","3726274827","3726274827","MPE for AUH -beta","0.01","1.19.0.6","https://github.com/Yusseter/MPE.git","6","0","5670","441,337","514","67,287","5156","374,05","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3726274827","5798","465,439"
"RICE","Yusseter RICE","RICE","2273832430","2273832430","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.19.*","https://github.com/Yusseter/RICE.git","16","0","4420","1306,627","2445","564,55","1975","742,077","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2273832430","4457","1823,939"
"Special-World","Yusseter Special-World","SW","2875587269","2875587269","A Special World - Special Building Compatch","1.0","1.19.*","https://github.com/Yusseter/Special-World.git","37","0","2983","1790,211","320","28,495","2663","1761,465","c:\program files (x86)\steam\steamapps\workshop\content\1158310\2875587269","4111","1832,886"
"Turkic-World-Expanded","Yusseter Turkic-World-Expanded","TWE","3668769244","3668769244","Turkic World Expanded","1.1","1.18.3.*","https://github.com/Yusseter/Turkic-World-Expanded.git","2","0","42","1,128","42","1,128","0","0","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3668769244","124","2,039"
"Western-Steppe-Expanded","Yusseter Western-Steppe-Expanded","WSE","3490396842","3490396842","Western Steppe Expanded","1.19.*","1.19.*","https://github.com/Yusseter/Western-Steppe-Expanded.git","4","0","181","13,888","163","0,976","18","12,912","c:\program files (x86)\steam\steamapps\workshop\content\1158310\3490396842","503","14,285"
