"Repo","Abbreviation","WorkshopId","GitIgnorePath","Line","Rule"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","1","*.asset"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","2","*.dds"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","3","*.jpg"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","4","*.mesh"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","5","*.png"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","1","*.asset"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","2","*.dds"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","3","*.jpg"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","4","*.mesh"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","5","*.png"
"Culture-Expanded","CE","2829397295",".gitignore","1","*.asset"
"Culture-Expanded","CE","2829397295",".gitignore","2","*.dds"
"Culture-Expanded","CE","2829397295",".gitignore","3","*.jpg"
"Culture-Expanded","CE","2829397295",".gitignore","4","*.mesh"
"Culture-Expanded","CE","2829397295",".gitignore","5","*.png"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","1","*.asset"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","2","*.dds"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","3","*.jpg"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","4","*.mesh"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632",".gitignore","5","*.png"
"MPE","MPE","3726274827","gfx/coat_of_arms/.gitignore","1","*"
"RICE","RICE","2273832430",".gitignore","1","*.asset"
"RICE","RICE","2273832430",".gitignore","2","*.dds"
"RICE","RICE","2273832430",".gitignore","3","*.jpg"
"RICE","RICE","2273832430",".gitignore","4","*.mesh"
"RICE","RICE","2273832430",".gitignore","5","*.png"
"Special-World","SW","2875587269",".gitignore","1","*.asset"
"Special-World","SW","2875587269",".gitignore","2","*.dds"
"Special-World","SW","2875587269",".gitignore","3","*.jpg"
"Special-World","SW","2875587269",".gitignore","4","*.mesh"
"Special-World","SW","2875587269",".gitignore","5","*.png"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","1","*.asset"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","2","*.dds"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","3","*.jpg"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","4","*.mesh"
"Western-Steppe-Expanded","WSE","3490396842",".gitignore","5","*.png"
