"Repo","Abbreviation","WorkshopId","RelativePath","Status","LocalMiB","SteamMiB"
"Community-Flavor-Pack","CFP","2220098919",".gitattributes","OnlySteam",,"6,5E-05"
"Community-Flavor-Pack","CFP","2220098919","common/genes/03_genes_special_accessories_hairstyles.txt","SizeChanged","0,049089","0,050817"
"Community-Flavor-Pack","CFP","2220098919","common/genes/04_genes_special_accessories_beards.txt","SizeChanged","0,019696","0,02095"
"Community-Flavor-Pack","CFP","2220098919","common/genes/05_genes_special_accessories_clothes.txt","SizeChanged","0,090518","0,095078"
"Community-Flavor-Pack","CFP","2220098919","common/genes/06_genes_special_accessories_headgear.txt","SizeChanged","0,111182","0,114331"
"Community-Flavor-Pack","CFP","2220098919","common/genes/07_genes_special_accessories_misc.txt","SizeChanged","0,061218","0,062616"
"Community-Flavor-Pack","CFP","2220098919","common/scripted_triggers/CFP_clothing_triggers.txt","SizeChanged","0,012544","0,012738"
"Community-Flavor-Pack","CFP","2220098919","descriptor.mod","SizeChanged","0,000178","0,000179"
"Community-Flavor-Pack","CFP","2220098919","gfx/court_scene/scene_settings/grandeur_levels/grandeur_levels.txt","SizeChanged","0,006312","0,006629"
"Community-Flavor-Pack","CFP","2220098919","gfx/interface/illustrations/scripted_illustrations/barbershop.txt","SizeChanged","0,040013","0,040294"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_animation_props.txt","SizeChanged","0,055004","0,055162"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_cloaks.txt","SizeChanged","0,003952","0,004104"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_clothes.txt","SizeChanged","0,024332","0,02659"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_hair.txt","SizeChanged","0,010074","0,010402"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_headgear.txt","SizeChanged","0,029882","0,029814"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_legwear.txt","SizeChanged","0,003764","0,00422"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/00_custom_special.txt","SizeChanged","0,002948","0,003095"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/CFP_cloaks.txt","SizeChanged","0,012521","0,012525"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/CFP_headgear_armor.txt","SizeChanged","0,026171","0,026043"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/CFP_headgear_base.txt","SizeChanged","0,019561","0,019518"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/CFP_headgear_religious.txt","SizeChanged","0,009157","0,00914"
"Community-Flavor-Pack","CFP","2220098919","gfx/portraits/portrait_modifiers/CFP_headgear_special.txt","SizeChanged","0,008723","0,008772"
"Culture-and-Faith-Granularity","CFG","3206891770","common/factions/00_populist_faction.txt","SizeChanged","0,03607","0,036441"
"Culture-and-Faith-Granularity","CFG","3206891770","common/factions/00_populist_faction.txt.bak","OnlySteam",,"0,03607"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/kei_cafg_county_values.txt","SizeChanged","0,000287","0,000454"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/kei_cafg_culture_values.txt","SizeChanged","0,013563","0,012816"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/kei_cafg_faith_tension_values.txt","SizeChanged","0,022432","0,022427"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/kei_cafg_faith_values.txt","SizeChanged","0,017286","0,016516"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/zz_kei_cafg_culture_promotion_values.txt","SizeChanged","0,013629","0,014642"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/zz_kei_cafg_culture_task_promote_culture_values.txt","SizeChanged","0,020784","0,020785"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/zz_kei_cafg_faith_conversion_values.txt","SizeChanged","0,023047","0,023815"
"Culture-and-Faith-Granularity","CFG","3206891770","common/script_values/zz_kei_cafg_faith_task_conversion_values.txt","SizeChanged","0,022695","0,022696"
"Culture-and-Faith-Granularity","CFG","3206891770","common/scripted_effects/kei_cafg_county_effects.txt","SizeChanged","0,002283","0,002312"
"Culture-and-Faith-Granularity","CFG","3206891770","common/scripted_triggers/kei_cafg_culture_laws_triggers.txt","SizeChanged","0,008295","0,007938"
"Culture-and-Faith-Granularity","CFG","3206891770","common/scripted_triggers/kei_cafg_faith_laws_triggers.txt","SizeChanged","0,008546","0,00821"
"Culture-and-Faith-Granularity","CFG","3206891770","common/scripted_triggers/kei_cafg_task_promote_culture_triggers.txt","SizeChanged","0,015447","0,015799"
"Culture-and-Faith-Granularity","CFG","3206891770","description.txt","SizeChanged","0,003922","0,003855"
