"Repo","Abbreviation","WorkshopId","Identical","OnlyLocal","OnlySteam","SizeChanged","ContentChanged","HashErrors"
"Community-Flavor-Pack","CFP","2220098919","3052","0","1","21","0","0"
"Culture-and-Faith-Granularity","CFG","3206891770","214","0","3","31","2","0"
"Culture-Expanded","CE","2829397295","794","0","0","0","0","0"
"Demand-Tribute","DT","3473488611","16","0","3","0","0","0"
"EPE-CFP","EPE-CFP","2996881191","47","0","0","0","0","0"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","9634","0","0","0","0","0"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","316","0","0","0","0","0"
"MedievalImmersion","MI","3268020725","319","0","0","0","0","0"
"MPE","MPE","3726274827","5670","0","0","0","0","0"
"RICE","RICE","2273832430","4420","0","0","0","0","0"
"Special-World","SW","2875587269","2983","0","0","0","0","0"
"Turkic-World-Expanded","TWE","3668769244","10","26","14","5","1","0"
"Western-Steppe-Expanded","WSE","3490396842","181","0","0","0","0","0"
