"Repo","Abbreviation","WorkshopId","LocalFileCount","LocalMiB","SteamFileCount","SteamMiB","SizeDifferenceMiB"
"Community-Flavor-Pack","CFP","2220098919","3073","1927,431","3074","1927,447","0,016"
"Culture-and-Faith-Granularity","CFG","3206891770","247","4,722","250","4,933","0,211"
"Culture-Expanded","CE","2829397295","794","39,514","794","39,514","0"
"Demand-Tribute","DT","3473488611","16","0,532","19","0,532","0"
"EPE-CFP","EPE-CFP","2996881191","47","3,007","47","3,007","0"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","9634","3637,162","9634","3637,162","0"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","316","4,919","316","4,919","0"
"MedievalImmersion","MI","3268020725","319","31,75","319","31,75","0"
"MPE","MPE","3726274827","5670","441,337","5670","441,337","0"
"RICE","RICE","2273832430","4420","1306,627","4420","1306,627","0"
"Special-World","SW","2875587269","2983","1790,211","2983","1790,211","0"
"Turkic-World-Expanded","TWE","3668769244","42","1,128","30","1,461","0,333"
"Western-Steppe-Expanded","WSE","3490396842","181","13,888","181","13,888","0"
