"Repo","Abbreviation","WorkshopId","Extension","FileCount","TextCount","BinaryCount","UnknownCount","Classification","TotalMiB","MaxFileMiB"
"Community-Flavor-Pack","CFP","2220098919",".anim","9","0","9","0","Binary","0,959","0,275"
"Community-Flavor-Pack","CFP","2220098919",".asset","530","530","0","0","Text","0,727","0,023"
"Community-Flavor-Pack","CFP","2220098919",".dds","1172","0","1172","0","Binary","1529,516","5,333"
"Community-Flavor-Pack","CFP","2220098919",".gitattributes","1","1","0","0","Text","0","0"
"Community-Flavor-Pack","CFP","2220098919",".gitignore","1","1","0","0","Text","0","0"
"Community-Flavor-Pack","CFP","2220098919",".gui","3","3","0","0","Text","0,006","0,004"
"Community-Flavor-Pack","CFP","2220098919",".md","1","1","0","0","Text","0,001","0,001"
"Community-Flavor-Pack","CFP","2220098919",".mesh","1138","0","1138","0","Binary","392,763","5,637"
"Community-Flavor-Pack","CFP","2220098919",".mod","1","1","0","0","Text","0","0"
"Community-Flavor-Pack","CFP","2220098919",".png","2","0","2","0","Binary","0,647","0,463"
"Community-Flavor-Pack","CFP","2220098919",".txt","117","117","0","0","Text","2,045","0,114"
"Community-Flavor-Pack","CFP","2220098919",".yml","99","99","0","0","Text","0,783","0,062"
"Culture-and-Faith-Granularity","CFG","3206891770",".bak","3","3","0","0","Text","0,198","0,089"
"Culture-and-Faith-Granularity","CFG","3206891770",".dds","14","0","14","0","Binary","0,623","0,1"
"Culture-and-Faith-Granularity","CFG","3206891770",".gitignore","1","1","0","0","Text","0","0"
"Culture-and-Faith-Granularity","CFG","3206891770",".gui","10","10","0","0","Text","0,2","0,101"
"Culture-and-Faith-Granularity","CFG","3206891770",".gui_old","2","2","0","0","Text","0,079","0,044"
"Culture-and-Faith-Granularity","CFG","3206891770",".mod","1","1","0","0","Text","0","0"
"Culture-and-Faith-Granularity","CFG","3206891770",".png","1","0","1","0","Binary","0,352","0,352"
"Culture-and-Faith-Granularity","CFG","3206891770",".txt","163","163","0","0","Text","3,297","0,591"
"Culture-and-Faith-Granularity","CFG","3206891770",".yml","55","55","0","0","Text","0,184","0,009"
"Culture-Expanded","CE","2829397295",".dds","145","0","145","0","Binary","29,023","9,847"
"Culture-Expanded","CE","2829397295",".gitignore","1","1","0","0","Text","0","0"
"Culture-Expanded","CE","2829397295",".gui","1","1","0","0","Text","0,005","0,005"
"Culture-Expanded","CE","2829397295",".info","1","1","0","0","Text","0,002","0,002"
"Culture-Expanded","CE","2829397295",".mod","1","1","0","0","Text","0","0"
"Culture-Expanded","CE","2829397295",".otf","6","0","6","0","Binary","0,668","0,147"
"Culture-Expanded","CE","2829397295",".pdf","1","0","1","0","Binary","0,048","0,048"
