"Repo","Abbreviation","WorkshopId","Ordinal","CommitSha","Subject","Extension","FileCount","TotalBytes","TotalMiB"
"Community-Flavor-Pack","CFP","2220098919","1","58ab171a8afd9e3da572045403bc8e71b2ba659b","Initial commit",".gitattributes","1","66","6,3E-05"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".anim","9","1005685","0,959096"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".gitignore","1","32","3,1E-05"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".gui","3","6331","0,006038"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".md","1","1038","0,00099"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".mod","1","187","0,000178"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".txt","117","2034988","1,940716"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First",".yml","99","812858","0,775202"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".anim","9","1005685","0,959096"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".gitignore","1","32","3,1E-05"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".gui","3","6331","0,006038"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".md","1","1038","0,00099"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".mod","1","187","0,000178"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".txt","117","2048392","1,953499"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28",".yml","99","812858","0,775202"
"Culture-and-Faith-Granularity","CFG","3206891770","1","0e02a3d07b146ae3ceb6f8d5027aab474a128af4","Initial commit",".gitattributes","1","66","6,3E-05"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0",".gitignore","1","32","3,1E-05"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0",".gui","12","330289","0,314988"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0",".mod","1","346","0,00033"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0",".txt","148","3163726","3,017164"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0",".yml","53","173262","0,165236"
