"Repo","Abbreviation","WorkshopId","Ordinal","CommitSha","ParentSha","ParentCount","Subject","Message","AuthorDate","CommitterDate","TreeSha","TreeFingerprint","SameTreeAsPrevious","TrackedFileCount","TrackedBytes","TrackedMiB","DescriptorName","DescriptorVersion","DescriptorSupportedVersion","DescriptorWorkshopId","SameVersionAsPrevious","GitIgnoreFileCount","RootGitIgnoreBlobSha","Added","Modified","Deleted","Renamed","Copied","TypeChanged","OtherChanges","TotalChangedPaths"
"Community-Flavor-Pack","CFP","2220098919","1","58ab171a8afd9e3da572045403bc8e71b2ba659b",,"0","Initial commit","Initial commit","2026-01-03T17:56:42+03:00","2026-01-03T17:56:42+03:00","6f9509c88bed7080d496fc5e1d87a9315e30549d","8492b15a0cfc679e854cd447e967df73fad8e3fb0b186e83883eff81135da77b","False","1","66","6,3E-05",,,,,"False","0",,"1","0","0","0","0","0","0","1"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","58ab171a8afd9e3da572045403bc8e71b2ba659b","1","First","First","2026-01-03T17:57:27+03:00","2026-01-03T17:57:27+03:00","751194ee99abaf63bf507ba3296eb80ebd057a5d","53fd042e66ff5098176d24d85443f7bd17e3b5475952d06fd39e5b26a9908180","False","231","3861119","3,68225","Community Flavor Pack","3.3.4","1.18.*","2220098919","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","231","0","1","0","0","0","0","232"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","1","2026.01.28","2026.01.28","2026-01-28T16:37:25+03:00","2026-01-28T16:37:25+03:00","05e99f5bc0dcf78bb9e0db732fc6b9a8b8bd76c4","817f0c4e45a382faf727e8ec155960c4f24a1d7052b3f54beec0a95c7c1c1196","False","231","3874523","3,695033","Community Flavor Pack","3.3.5","1.18.*","2220098919","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","14","0","0","0","0","0","14"
"Culture-and-Faith-Granularity","CFG","3206891770","1","0e02a3d07b146ae3ceb6f8d5027aab474a128af4",,"0","Initial commit","Initial commit","2026-02-21T10:40:27+03:00","2026-02-21T10:40:27+03:00","6f9509c88bed7080d496fc5e1d87a9315e30549d","8492b15a0cfc679e854cd447e967df73fad8e3fb0b186e83883eff81135da77b","False","1","66","6,3E-05",,,,,"False","0",,"1","0","0","0","0","0","0","1"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","0e02a3d07b146ae3ceb6f8d5027aab474a128af4","1","1.4.0","1.4.0","2026-02-21T10:43:11+03:00","2026-02-21T10:43:11+03:00","78b6d0157eb25a579e8a0642f2596e866ad59e1f","adecbe686154973176f9162d5b03de6f9b33b539cc72f0f19af98ce6535ea33d","False","215","3667655","3,497748","Culture and Faith Granularity","1.4.0","*.*.*","3422074499","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","215","0","1","0","0","0","0","216"
"Culture-and-Faith-Granularity","CFG","3206891770","3","2e2602f56ee08890cc915690989b121c299ca8d0","3b866d6489ab4552cf501aebce5f7836c90c45a5","1","2.3.0","2.3.0","2026-02-21T10:44:03+03:00","2026-02-21T10:44:03+03:00","31a1f137bf476b2355dca9ba96242dc50b1594ba","301a70b8dd342734dfb40246b71b93afe60439bc69c5b86c1fde702317e86236","False","232","3794000","3,61824","[Kei] Culture and Faith Granularity","2.3.0 - CK 1.18","1.18.*","3206891770","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","23","144","6","13","0","0","0","186"
"Culture-Expanded","CE","2829397295","1","d9875fcf1ab561c03263be8bd7fa1bf19d011514",,"0","First","First","2026-01-22T18:51:42+03:00","2026-01-22T18:51:42+03:00","b295900f5f3a04a78cdf6cbe2a47cba12c35febd","65c68dc21a8dfb9ac9ccf11afc63cb4a6d950aca3a434a907c58c9359df6494a","False","648","10006689","9,543122","Culture Expanded","1.0","1.18.2","2829397295","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","648","0","0","0","0","0","0","648"
"Culture-Expanded","CE","2829397295","2","5db0c9ce064448e50984a8c113d3dea1d5a17c45","d9875fcf1ab561c03263be8bd7fa1bf19d011514","1","2026.02.13","2026.02.13","2026-02-13T17:34:02+03:00","2026-02-13T17:34:02+03:00","bf6e0695587b1bc8ca51dd3c636e9aa28fafa955","0b18fa02096d34cc5be850ff607ce09b89d3fd06ad66c8fd70b07ab10a2f610f","False","648","10006691","9,543124","Culture Expanded","1.0","1.18.3.1","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","1","0","0","0","0","0","1"
"Culture-Expanded","CE","2829397295","3","9cf590790a7e257689388e0a8d06335e3fdaf4f5","5db0c9ce064448e50984a8c113d3dea1d5a17c45","1","2026.03.19","2026.03.19","2026-03-19T14:20:56+03:00","2026-03-19T14:20:56+03:00","b3da0dd77c4eb0b79fa242ee977600d4f50f3ae5","1a6f40f72f9d2ecf711776b3331a3ba0e50461ce30ebdafa9ce03b33fe7cbb99","False","648","10006689","9,543122","Culture Expanded","1.0","1.18.4","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","1","0","0","0","0","0","1"
"Culture-Expanded","CE","2829397295","4","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","9cf590790a7e257689388e0a8d06335e3fdaf4f5","1","2026.04.21","2026.04.21","2026-04-21T16:36:48+03:00","2026-04-21T16:36:48+03:00","2d66ccbf7ee4c8feac3eabc092a3d70d935808a9","89995ae77d5e983e3d364d029920832af85c516c1a56763af01606ed09bfe583","False","648","10006799","9,543227","Culture Expanded","1.0","1.19.0.3","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","7","0","0","0","0","0","7"
"Culture-Expanded","CE","2829397295","5","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","1","2026.04.26","2026.04.26","2026-04-27T23:05:34+03:00","2026-04-27T23:05:34+03:00","7489820341a3c096f496736cb622d6e097adca4f","18adc56d43b7228082616c8ee16d1f6d41e38e75667595afb6f10e1d11e7efaa","False","648","10007816","9,544197","Culture Expanded","1.0","1.19.0.4","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","5","0","0","0","0","0","5"
"Culture-Expanded","CE","2829397295","6","0804f6a73ecb93a2bfc8b048ae2730c242388a92","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","1","2026.05.10","2026.05.10","2026-05-10T13:07:08+03:00","2026-05-10T13:07:08+03:00","6674d63baa137fa7b154ffc8f406376994652e3c","79609141644acb458828f243e160ed02f49d04e7315e9b152a8bcfc55e86ea2f","False","648","10028536","9,563957","Culture Expanded","1.0","1.19.0.5","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","6","0","0","0","0","0","6"
"Culture-Expanded","CE","2829397295","7","07b7ca5ee4f0481ea9107d0299a90a396d2d78e8","0804f6a73ecb93a2bfc8b048ae2730c242388a92","1","2026.05.25","2026.05.25","2026-05-26T11:33:18+03:00","2026-05-26T11:33:18+03:00","70623a1bc4d0b148dbd88fd77b7bb733e2f82bbe","6a9a879b0bc089c85abc2d6be0da573848a6353fb77a4f0476aa18ad979b987d","False","648","10028688","9,564102","Culture Expanded","1.0","1.19.0.6","2829397295","True","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","0","4","0","0","0","0","0","4"
"Demand-Tribute","DT","3473488611","1","960c178ecea0b03c6abe53d1e133f8cd35a79522",,"0","","","2025-09-18T22:46:45+03:00","2025-09-18T22:46:45+03:00","295a564f2d4c1a82718a1dd8bafd7d840c49e545","641401ac3bf43357757a8b64f643cbe320f6992a5be4aa959b5dc84f3638cb08","False","16","534380","0,509624","Demand Tribute","1.0","1.17.*","3473488611","False","0",,"16","0","0","0","0","0","0","16"
"Demand-Tribute","DT","3473488611","2","6520ebb7e546502cd58ce2bf9f284e1302d82f3b","960c178ecea0b03c6abe53d1e133f8cd35a79522","1","2025.12.09","2025.12.09","2025-12-09T20:12:06+03:00","2025-12-09T20:12:06+03:00","c7ec318b5438c2371edf1d978aca953d8d25ee50","5eadfd6adcdb9ec5a4c4bd399077be760a4cdfbaa2c9b9a25196d96d08558697","False","16","554536","0,528847","Demand Tribute","1.1","1.18.*","3473488611","False","0",,"0","4","0","0","0","0","0","4"
"EPE-CFP","EPE-CFP","2996881191","1","b0c1c52509748ba4830cadbdc4948334eeea2a6b",,"0","First","First","2025-09-18T23:06:59+03:00","2025-09-18T23:06:59+03:00","324c00ce9aac52240090ef03c0aaeb235a2e1910","9b9bb7d228f053099aaacf82dc063f05eb59f3bf401c46bd42a11650f5e47d27","False","412","8765144","8,359093","MB + EPE/CFP","1.0","1.17.1","2543865921","False","0",,"412","0","0","0","0","0","0","412"
"EPE-CFP","EPE-CFP","2996881191","2","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","b0c1c52509748ba4830cadbdc4948334eeea2a6b","1","2025.11.13","2025.11.13","2025-11-13T13:25:10+03:00","2025-11-13T13:25:10+03:00","695e1b65ab0618e4bb54ffb83f15d50a20f03e24","4893e3600a7dd9559a6ca4a5ce0deb07c425ca35cc04c6900d431b065aecfa62","False","33","2671768","2,547997","CFP + EPE Compatibility Patch","4.5.0","1.18.*","2996881191","False","0",,"17","16","396","0","0","0","0","429"
"EPE-CFP","EPE-CFP","2996881191","3","4ce6ce712925f0b928664bfbda395ca2b98fda0d","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","1","2025.11.19","2025.11.19","2025-11-19T20:26:28+03:00","2025-11-19T20:26:28+03:00","30737ee1631728eca9d0807fb7d7394690a78ef1","62a40c0a09c1c51e2f26b15d514df5a1c9918ae42545ec7a02af93a1a03bb697","False","36","2676852","2,552845","CFP + EPE Compatibility Patch","4.5.3","1.18.1.*","2996881191","False","0",,"3","10","0","0","0","0","0","13"
"EPE-CFP","EPE-CFP","2996881191","4","25284d7351b6cdc292cdccb3ceed15ef5336622f","4ce6ce712925f0b928664bfbda395ca2b98fda0d","1","2025.12.15","2025.12.15","2025-12-15T17:01:13+03:00","2025-12-15T17:01:13+03:00","3bf41980f07a9834f9b25089c2b74d713e566acd","438ae1b21be4304ecc0c9bbca6bd6abfe3a4bf5fc8611e34f9c699016d5f91c0","False","40","2806397","2,676389","CFP + EPE Compatibility Patch","4.7.1","1.18.2.*","2996881191","False","0",,"5","16","1","2","0","0","0","24"
"EPE-CFP","EPE-CFP","2996881191","5","9ff2bd53b1bec5e0cd1b8d0816f7d750fef566d3","25284d7351b6cdc292cdccb3ceed15ef5336622f","1","2026.02.05","2026.02.05","2026-02-05T18:21:07+03:00","2026-02-05T18:21:07+03:00","64349ad6a25606750e498aebbdaeb88ba183edca","e7e844b3be99d898b06028927351904d4e580035594e488a02f646c8d645aabb","False","40","2854821","2,722569","CFP + EPE Compatibility Patch","4.8.0","1.18.3","2996881191","False","0",,"0","16","0","0","0","0","0","16"
"EPE-CFP","EPE-CFP","2996881191","6","3f7bbef8e71f4cbc0483ada19c89d5bee9ec9906","9ff2bd53b1bec5e0cd1b8d0816f7d750fef566d3","1","2026.03.21","2026.03.21","2026-03-22T19:38:36+03:00","2026-03-22T19:38:36+03:00","3e25b382f32d78653d5944ebaba94157bad4ba75","4b3fec5af63e6a03afb9378a196bb697b8f5307839c690862c008ab3277056c6","False","43","2972944","2,83522","CFP + EPE Compatibility Patch","5.0.0","1.18.4","2996881191","False","0",,"3","16","0","0","0","0","0","19"
"EPE-CFP","EPE-CFP","2996881191","7","ec21513d682e85426658aaf24cf68ccdd884adb9","3f7bbef8e71f4cbc0483ada19c89d5bee9ec9906","1","2026.04.27","2026.04.27","2026-04-27T23:06:57+03:00","2026-04-27T23:06:57+03:00","085c1a7cad43aefa746fd4e99ef4916aed8f89d5","5d320c21388908f08a25843711d65389b027352d11c86fb87376b5070d6caa4f","False","47","3051238","2,909887","CFP + EPE Compatibility Patch","5.1.0","1.19.0.4","2996881191","False","0",,"4","21","0","0","0","0","0","25"
"EPE-CFP","EPE-CFP","2996881191","8","dbebe469551c494e9481693a5ef74dcc847c77b7","ec21513d682e85426658aaf24cf68ccdd884adb9","1","2026.04.28","2026.04.28","2026-04-28T19:11:50+03:00","2026-04-28T19:11:50+03:00","7b58c8bcf9b34fbbabaf3054703dca752c95dbbe","0604f7f86c5daf010a1fa01dc9ce724daa8c9c534f649f7b39554df660f85860","False","48","3085197","2,942273","CFP + EPE Compatibility Patch","5.1.1","1.19.0.4","2996881191","False","0",,"1","5","0","0","0","0","0","6"
"EPE-CFP","EPE-CFP","2996881191","9","54cc9c5830ad485c79bacc5ec5c31416ba30ae1f","dbebe469551c494e9481693a5ef74dcc847c77b7","1","2026.05.11","2026.05.11","2026-05-11T15:13:02+03:00","2026-05-11T15:13:02+03:00","4a02205909469ea22c202b1674f0d57235a192d0","bdc0df572170fb228c9eff1d3127c57d17310f154240290bd58bd37a8f64d185","False","47","3063440","2,921524","CFP + EPE Compatibility Patch","5.2.0","1.19.0.5","2996881191","False","0",,"0","11","1","0","0","0","0","12"
"EPE-CFP","EPE-CFP","2996881191","10","63d844200f7adf6fb57df1b37cb99d89d6ca8ced","54cc9c5830ad485c79bacc5ec5c31416ba30ae1f","1","2026.06.07","2026.06.07","2026-06-08T20:53:42+03:00","2026-06-08T20:53:42+03:00","d4a94b44df2b556a53448f4763e579db3f337e91","d16a11e30091c46b619c940a1ffd2f7bd2537d99e72b6d0ead07888bcbc401d7","False","47","3063440","2,921524","CFP + EPE Compatibility Patch","5.2.0","1.19.0.6","2996881191","True","0",,"0","1","0","0","0","0","0","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","1","0a6c3ef8bfe94c6f3e8aa33cc5f2aaf57dfe313c",,"0","First","First","2025-09-18T23:25:34+03:00","2025-09-18T23:25:34+03:00","d9f8da0fecbfb89c4e1de1d1b25d3ace67b3a9b5","0093f5094ddddeb4bad657d0c83ea0b12cb9cb89609546ad3ace28e890dc692b","False","3487","93928849","89,577531","Ethnicities and Portraits Expanded","1.0","1.16.2.3","2507209632","False","1","bdf3707d7a8d8d4a272e9b09519f567b69e3e54f","3487","0","0","0","0","0","0","3487"
