"Repo","Abbreviation","WorkshopId","DeclaredEventCount","ParsedEventCount","PagesFetched","CountsMatch"
"Community-Flavor-Pack","CFP","2220098919","129","129","13","True"
"Culture-and-Faith-Granularity","CFG","3206891770","26","26","3","True"
"Culture-Expanded","CE","2829397295","54","54","6","True"
"Demand-Tribute","DT","3473488611","11","11","2","True"
"EPE-CFP","EPE-CFP","2996881191","44","44","5","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","86","87","9","False"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","191","191","20","True"
"MedievalImmersion","MI","3268020725","27","27","3","True"
"MPE","MPE","3726274827","9","9","1","True"
"RICE","RICE","2273832430","120","120","12","True"
"Special-World","SW","2875587269","470","477","47","False"
"Turkic-World-Expanded","TWE","3668769244","3","3","1","True"
"Western-Steppe-Expanded","WSE","3490396842","28","28","3","True"
