"EventKey","Repo","Abbreviation","WorkshopId","SteamNewestOrdinal","SteamRawDisplayedTime","SteamNormalizedFetchedTime","SteamVersionText","SteamPreview","SteamCanonicalTimeVerified","GitOrdinal","GitCommitSha","GitSubject","GitAuthorDate","GitDescriptorVersion","GitDescriptorWorkshopId","GitClassification","SubjectDayDelta","AuthorDayDelta","VersionTokensMatched","CurrentHeadEvidence","Score","Evidence"
"2220098919|2","Community-Flavor-Pack","CFP","2220098919","2","27 Jan @ 1:24pm","2026-01-27 13:24","Version 3.3.5","Version 3.3.5","False","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28","2026-01-28T16:37:25+03:00","3.3.5","2220098919","NORMAL","1","1","3.3.5","False","225","subject-date-1-day; author-date-1-day; version-token:3.3.5; descriptor-workshop-id-match"
"2220098919|3","Community-Flavor-Pack","CFP","2220098919","3","12 Nov, 2025 @ 12:36pm","2025-11-12 12:36","Version 3.3.4","Version 3.3.4","False","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First","2026-01-03T17:57:27+03:00","3.3.4","2220098919","NORMAL","","52","3.3.4","False","95","version-token:3.3.4; descriptor-workshop-id-match"
"3206891770|3","Culture-and-Faith-Granularity","CFG","3206891770","3","14 Nov, 2025 @ 11:43am","2025-11-14 11:43","2.3.0","2.3.0","False","3","2e2602f56ee08890cc915690989b121c299ca8d0","2.3.0","2026-02-21T10:44:03+03:00","2.3.0 - CK 1.18","3206891770","NORMAL","","99","2.3.0","False","95","version-token:2.3.0; descriptor-workshop-id-match"
"3206891770|13","Culture-and-Faith-Granularity","CFG","3206891770","13","9 Oct, 2024 @ 11:28am","2024-10-09 11:28","1.4.0","1.4.0","False","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0","2026-02-21T10:43:11+03:00","1.4.0","3422074499","EXTERNAL_DESCRIPTOR_MISMATCH","","500","1.4.0","False","65","version-token:1.4.0; descriptor-workshop-id-external-mismatch"
"2829397295|1","Culture-Expanded","CE","2829397295","1","25 May @ 8:54am","2026-05-25 08:54","","","False","7","07b7ca5ee4f0481ea9107d0299a90a396d2d78e8","2026.05.25","2026-05-26T11:33:18+03:00","1.0","2829397295","NORMAL","0","1","","True","565","subject-date-exact; author-date-1-day; descriptor-workshop-id-match; current-head-vs-steam-evidence"
"2829397295|2","Culture-Expanded","CE","2829397295","2","9 May @ 10:30pm","2026-05-09 22:30","","","False","6","0804f6a73ecb93a2bfc8b048ae2730c242388a92","2026.05.10","2026-05-10T13:07:08+03:00","1.0","2829397295","NORMAL","1","1","","False","135","subject-date-1-day; author-date-1-day; descriptor-workshop-id-match"
"2829397295|3","Culture-Expanded","CE","2829397295","3","9 May @ 9:57pm","2026-05-09 21:57","","","False","6","0804f6a73ecb93a2bfc8b048ae2730c242388a92","2026.05.10","2026-05-10T13:07:08+03:00","1.0","2829397295","NORMAL","1","1","","False","135","subject-date-1-day; author-date-1-day; descriptor-workshop-id-match"
"2829397295|4","Culture-Expanded","CE","2829397295","4","26 Apr @ 11:08am","2026-04-26 11:08","","","False","5","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","2026.04.26","2026-04-27T23:05:34+03:00","1.0","2829397295","NORMAL","0","1","","False","165","subject-date-exact; author-date-1-day; descriptor-workshop-id-match"
"2829397295|4","Culture-Expanded","CE","2829397295","4","26 Apr @ 11:08am","2026-04-26 11:08","","","False","4","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","2026.04.21","2026-04-21T16:36:48+03:00","1.0","2829397295","NORMAL","5","5","","False","35","subject-date-within-7-days; author-date-within-7-days; descriptor-workshop-id-match"
"2829397295|5","Culture-Expanded","CE","2829397295","5","20 Apr @ 4:09pm","2026-04-20 16:09","","","False","4","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","2026.04.21","2026-04-21T16:36:48+03:00","1.0","2829397295","NORMAL","1","1","","False","135","subject-date-1-day; author-date-1-day; descriptor-workshop-id-match"
"2829397295|5","Culture-Expanded","CE","2829397295","5","20 Apr @ 4:09pm","2026-04-20 16:09","","","False","5","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","2026.04.26","2026-04-27T23:05:34+03:00","1.0","2829397295","NORMAL","6","7","","False","35","subject-date-within-7-days; author-date-within-7-days; descriptor-workshop-id-match"
"2829397295|6","Culture-Expanded","CE","2829397295","6","18 Mar @ 7:50pm","2026-03-18 19:50","","","False","3","9cf590790a7e257689388e0a8d06335e3fdaf4f5","2026.03.19","2026-03-19T14:20:56+03:00","1.0","2829397295","NORMAL","1","1","","False","135","subject-date-1-day; author-date-1-day; descriptor-workshop-id-match"
"2829397295|7","Culture-Expanded","CE","2829397295","7","12 Feb @ 6:55pm","2026-02-12 18:55","","","False","2","5db0c9ce064448e50984a8c113d3dea1d5a17c45","2026.02.13","2026-02-13T17:34:02+03:00","1.0","2829397295","NORMAL","1","1","","False","135","subject-date-1-day; author-date-1-day; descriptor-workshop-id-match"
