"Repo","Abbreviation","WorkshopId","GitOrdinal","CommitSha","Subject","AuthorDate","CommitterDate","SubjectDate","DescriptorName","DescriptorVersion","DescriptorSupportedVersion","DescriptorWorkshopId","DescriptorWorkshopIdRelation","StructuralClassification","PlaceholderFingerprint","EligibleForCandidateMapping","IsLatestCommit","CurrentComparisonExact","RepositoryClean","TreeFingerprint","TrackedFileCount","TrackedBytes","CandidatePairCount","BestCandidateUnique","BestCandidateScore","BestSteamNewestOrdinal","BestSteamDisplayedTime","BestSteamNormalizedTime","SelectedEventCount"
"Community-Flavor-Pack","CFP","2220098919","1","58ab171a8afd9e3da572045403bc8e71b2ba659b","Initial commit","2026-01-03T17:56:42+03:00","2026-01-03T17:56:42+03:00","","","","","","MISSING","PLACEHOLDER","True","False","False","False","True","8492b15a0cfc679e854cd447e967df73fad8e3fb0b186e83883eff81135da77b","1","66","0","False","","","","","0"
"Community-Flavor-Pack","CFP","2220098919","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First","2026-01-03T17:57:27+03:00","2026-01-03T17:57:27+03:00","","Community Flavor Pack","3.3.4","1.18.*","2220098919","MATCH","NORMAL","False","True","False","False","True","53fd042e66ff5098176d24d85443f7bd17e3b5475952d06fd39e5b26a9908180","231","3861119","1","True","95","3","12 Nov, 2025 @ 12:36pm","2025-11-12 12:36","0"
"Community-Flavor-Pack","CFP","2220098919","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28","2026-01-28T16:37:25+03:00","2026-01-28T16:37:25+03:00","2026-01-28","Community Flavor Pack","3.3.5","1.18.*","2220098919","MATCH","NORMAL","False","True","True","False","True","817f0c4e45a382faf727e8ec155960c4f24a1d7052b3f54beec0a95c7c1c1196","231","3874523","1","True","225","2","27 Jan @ 1:24pm","2026-01-27 13:24","1"
"Culture-and-Faith-Granularity","CFG","3206891770","1","0e02a3d07b146ae3ceb6f8d5027aab474a128af4","Initial commit","2026-02-21T10:40:27+03:00","2026-02-21T10:40:27+03:00","","","","","","MISSING","PLACEHOLDER","True","False","False","False","True","8492b15a0cfc679e854cd447e967df73fad8e3fb0b186e83883eff81135da77b","1","66","0","False","","","","","0"
"Culture-and-Faith-Granularity","CFG","3206891770","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0","2026-02-21T10:43:11+03:00","2026-02-21T10:43:11+03:00","","Culture and Faith Granularity","1.4.0","*.*.*","3422074499","EXTERNAL_MISMATCH","EXTERNAL_DESCRIPTOR_MISMATCH","False","True","False","False","True","adecbe686154973176f9162d5b03de6f9b33b539cc72f0f19af98ce6535ea33d","215","3667655","1","True","65","13","9 Oct, 2024 @ 11:28am","2024-10-09 11:28","0"
"Culture-and-Faith-Granularity","CFG","3206891770","3","2e2602f56ee08890cc915690989b121c299ca8d0","2.3.0","2026-02-21T10:44:03+03:00","2026-02-21T10:44:03+03:00","","[Kei] Culture and Faith Granularity","2.3.0 - CK 1.18","1.18.*","3206891770","MATCH","NORMAL","False","True","True","False","True","301a70b8dd342734dfb40246b71b93afe60439bc69c5b86c1fde702317e86236","232","3794000","1","True","95","3","14 Nov, 2025 @ 11:43am","2025-11-14 11:43","0"
"Culture-Expanded","CE","2829397295","1","d9875fcf1ab561c03263be8bd7fa1bf19d011514","First","2026-01-22T18:51:42+03:00","2026-01-22T18:51:42+03:00","","Culture Expanded","1.0","1.18.2","2829397295","MATCH","NORMAL","False","True","False","True","True","65c68dc21a8dfb9ac9ccf11afc63cb4a6d950aca3a434a907c58c9359df6494a","648","10006689","0","False","","","","","0"
"Culture-Expanded","CE","2829397295","2","5db0c9ce064448e50984a8c113d3dea1d5a17c45","2026.02.13","2026-02-13T17:34:02+03:00","2026-02-13T17:34:02+03:00","2026-02-13","Culture Expanded","1.0","1.18.3.1","2829397295","MATCH","NORMAL","False","True","False","True","True","0b18fa02096d34cc5be850ff607ce09b89d3fd06ad66c8fd70b07ab10a2f610f","648","10006691","1","True","135","7","12 Feb @ 6:55pm","2026-02-12 18:55","1"
"Culture-Expanded","CE","2829397295","3","9cf590790a7e257689388e0a8d06335e3fdaf4f5","2026.03.19","2026-03-19T14:20:56+03:00","2026-03-19T14:20:56+03:00","2026-03-19","Culture Expanded","1.0","1.18.4","2829397295","MATCH","NORMAL","False","True","False","True","True","1a6f40f72f9d2ecf711776b3331a3ba0e50461ce30ebdafa9ce03b33fe7cbb99","648","10006689","1","True","135","6","18 Mar @ 7:50pm","2026-03-18 19:50","1"
"Culture-Expanded","CE","2829397295","4","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","2026.04.21","2026-04-21T16:36:48+03:00","2026-04-21T16:36:48+03:00","2026-04-21","Culture Expanded","1.0","1.19.0.3","2829397295","MATCH","NORMAL","False","True","False","True","True","89995ae77d5e983e3d364d029920832af85c516c1a56763af01606ed09bfe583","648","10006799","2","True","135","5","20 Apr @ 4:09pm","2026-04-20 16:09","1"
