"Repo","Abbreviation","WorkshopId","SteamEventCount","GitCommitCount","EligibleGitCommitCount","PlaceholderCommitCount","CrossTargetMismatchCount","ExternalDescriptorMismatchCount","CurrentComparisonExact","RepositoryClean","CurrentHeadEvidenceCount","StrongCandidateCount","CandidateCount","AmbiguousCount","UnresolvedCount"
"Community-Flavor-Pack","CFP","2220098919","129","3","2","1","0","0","False","True","0","1","0","1","127"
"Culture-and-Faith-Granularity","CFG","3206891770","26","3","2","1","0","1","False","True","0","0","0","2","24"
"Culture-Expanded","CE","2829397295","54","7","7","0","0","0","True","True","1","0","4","2","47"
"Demand-Tribute","DT","3473488611","11","2","2","0","0","0","False","True","0","0","0","0","11"
"EPE-CFP","EPE-CFP","2996881191","44","10","9","0","1","0","True","True","1","4","3","4","32"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","86","16","16","0","0","0","True","True","1","0","5","10","70"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","191","6","4","1","1","0","True","True","1","0","2","2","186"
"MedievalImmersion","MI","3268020725","27","4","4","0","0","0","True","True","1","0","1","8","17"
"MPE","MPE","3726274827","9","6","6","0","0","0","True","True","1","1","2","5","0"
"RICE","RICE","2273832430","120","16","15","1","0","0","True","True","1","1","9","5","104"
"Special-World","SW","2875587269","470","37","37","0","0","0","True","True","1","2","19","33","415"
"Turkic-World-Expanded","TWE","3668769244","3","2","1","1","0","0","False","True","0","0","0","0","3"
"Western-Steppe-Expanded","WSE","3490396842","28","4","3","1","0","0","True","True","1","1","1","1","24"
