"Repo","Abbreviation","WorkshopId","CatalogueUrl","RawPath","Sha256","Bytes","FetchedAtUtc","FromCache"
"Community-Flavor-Pack","CFP","2220098919","https://catalogue.smods.ru/archives/66558","analysis/results/06-skymods-archive-inventory/raw-pages/2220098919.html","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","107277","2026-08-16 11:33:37","False"
"Culture-and-Faith-Granularity","CFG","3206891770","https://catalogue.smods.ru/archives/251333","analysis/results/06-skymods-archive-inventory/raw-pages/3206891770.html","472a5bad1cac70219572b1104321d3257f8072bb4b5025157fcd3481a5e18718","98108","2026-08-16 11:33:42","False"
"Culture-Expanded","CE","2829397295","https://catalogue.smods.ru/archives/102619","analysis/results/06-skymods-archive-inventory/raw-pages/2829397295.html","546b29317728768d0f9d690437afbea3567a502de7b39e58546a9102a16cc9c5","106885","2026-08-16 11:33:46","False"
"Demand-Tribute","DT","3473488611","https://catalogue.smods.ru/archives/350915","analysis/results/06-skymods-archive-inventory/raw-pages/3473488611.html","3ff24f5137dd37c2ca53108ac6ecfdf887289f06c01baf1570ac7aadf51db2a5","92924","2026-08-16 11:33:51","False"
"EPE-CFP","EPE-CFP","2996881191","https://catalogue.smods.ru/archives/188635","analysis/results/06-skymods-archive-inventory/raw-pages/2996881191.html","450c191c64bce7634283283e796778613590707cb13fa90c925fa413970fb3de","97198","2026-08-16 11:33:54","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","https://catalogue.smods.ru/archives/79577","analysis/results/06-skymods-archive-inventory/raw-pages/2507209632.html","db75494493b5b79743d8e5c531e5d14cac460488066eff00664c404a4f75cbd1","112870","2026-08-16 11:33:58","False"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","https://catalogue.smods.ru/archives/88794","analysis/results/06-skymods-archive-inventory/raw-pages/2543865921.html","559ef22d8cdf13949a93266a8d79e994231db5ba72913c3eefbcdf14e730aeb3","101391","2026-08-16 11:34:03","False"
"MedievalImmersion","MI","3268020725","https://catalogue.smods.ru/archives/349431","analysis/results/06-skymods-archive-inventory/raw-pages/3268020725.html","be2cdb94dbdafac341cd084e8d3b49106a82431860029441076fe5d30407da7c","95145","2026-08-16 11:34:06","False"
"MPE","MPE","3726274827","https://catalogue.smods.ru/archives/435984","analysis/results/06-skymods-archive-inventory/raw-pages/3726274827.html","5e701f459df362b673d5c73c1f25e2a1973fb6643ec6299e24017a740e1f320c","90612","2026-08-16 11:34:11","False"
"RICE","RICE","2273832430","https://catalogue.smods.ru/archives/69887","analysis/results/06-skymods-archive-inventory/raw-pages/2273832430.html","777d1f01446f6a865ffb2ce3d56abb5e2133582584428381ccd4b1606300eefd","117038","2026-08-16 11:34:14","False"
"Special-World","SW","2875587269","https://catalogue.smods.ru/archives/127297","analysis/results/06-skymods-archive-inventory/raw-pages/2875587269.html","ce0a358ce210fa1b7faa27b32a4835f95f4b6bf235636ebe59c8dda2793bba6a","122156","2026-08-16 11:34:17","False"
"Turkic-World-Expanded","TWE","3668769244","https://catalogue.smods.ru/archives/421646","analysis/results/06-skymods-archive-inventory/raw-pages/3668769244.html","dd083812858b8a93ba8ccf1c974352c6a61bcc3d69b1985018e5f9b605659cfa","93034","2026-08-16 11:34:20","False"
"Western-Steppe-Expanded","WSE","3490396842","https://catalogue.smods.ru/archives/360256","analysis/results/06-skymods-archive-inventory/raw-pages/3490396842.html","bd0e80421009597932a101b91cbddbe64924de5689122e80b3030cc3e2619ec4","97775","2026-08-16 11:34:24","False"
