"Repo","Abbreviation","WorkshopId","CatalogueArchiveId","CatalogueUrl","SkymodsTitle","PrimaryWorkshopId","WorkshopIdMatches","PageReferenceYear","CurrentRawRevisionTime","CurrentNormalizedUtcTime","FileSize","DeclaredOldRevisionCount","ParsedOldRevisionCount","TotalRevisionCount","CurrentDownloadUrlPresent","RawPageSha256","FromCache"
"Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","2220098919","True","2026","21 Apr at 18:34 UTC","2026-04-21 18:34","2.02 GB","91","91","92","True","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"Culture-and-Faith-Granularity","CFG","3206891770","251333","https://catalogue.smods.ru/archives/251333","[Kei] Culture and Faith Granularity","3206891770","True","2026","20 Apr at 22:37 UTC","2026-04-20 22:37","5.17 MB","18","18","19","True","472a5bad1cac70219572b1104321d3257f8072bb4b5025157fcd3481a5e18718","False"
"Culture-Expanded","CE","2829397295","102619","https://catalogue.smods.ru/archives/102619","Culture Expanded","2829397295","True","2026","25 May at 15:54 UTC","2026-05-25 15:54","41.43 MB","42","42","43","True","546b29317728768d0f9d690437afbea3567a502de7b39e58546a9102a16cc9c5","False"
"Demand-Tribute","DT","3473488611","350915","https://catalogue.smods.ru/archives/350915","Demand Tribute","3473488611","True","2026","29 Oct, 2025 at 10:52 UTC","2025-10-29 10:52","2.55 MB","5","5","6","True","3ff24f5137dd37c2ca53108ac6ecfdf887289f06c01baf1570ac7aadf51db2a5","False"
"EPE-CFP","EPE-CFP","2996881191","188635","https://catalogue.smods.ru/archives/188635","CFP + EPE Compatibility Patch","2996881191","True","2026","7 Jun at 19:39 UTC","2026-06-07 19:39","3.15 MB","33","33","34","True","450c191c64bce7634283283e796778613590707cb13fa90c925fa413970fb3de","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","79577","https://catalogue.smods.ru/archives/79577","Ethnicities & Portraits Expanded","2507209632","True","2026","25 May at 15:54 UTC","2026-05-25 15:54","3.81 GB","67","67","68","True","db75494493b5b79743d8e5c531e5d14cac460488066eff00664c404a4f75cbd1","False"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","88794","https://catalogue.smods.ru/archives/88794","MB + EPE/CFP","2543865921","True","2026","1 May at 18:37 UTC","2026-05-01 18:37","5.16 MB","80","80","81","True","559ef22d8cdf13949a93266a8d79e994231db5ba72913c3eefbcdf14e730aeb3","False"
"MedievalImmersion","MI","3268020725","349431","https://catalogue.smods.ru/archives/349431","MedievalImmersion","3268020725","True","2025","21 Dec, 2025 at 21:27 UTC","2025-12-21 21:27","32.08 MB","4","4","5","True","be2cdb94dbdafac341cd084e8d3b49106a82431860029441076fe5d30407da7c","False"
"MPE","MPE","3726274827","435984","https://catalogue.smods.ru/archives/435984","MPE for AUH -beta","3726274827","True","2026","8 Aug at 02:03 UTC","2026-08-08 02:03","462.77 MB","4","4","5","True","5e701f459df362b673d5c73c1f25e2a1973fb6643ec6299e24017a740e1f320c","False"
"RICE","RICE","2273832430","69887","https://catalogue.smods.ru/archives/69887","Regional Immersion and Cultural Enrichment (RICE)","2273832430","True","2026","26 Jul at 19:25 UTC","2026-07-26 19:25","1.37 GB","85","85","86","True","777d1f01446f6a865ffb2ce3d56abb5e2133582584428381ccd4b1606300eefd","False"
"Special-World","SW","2875587269","127297","https://catalogue.smods.ru/archives/127297","A Special World – Special Building Compatch","2875587269","True","2026","1 Aug at 15:11 UTC","2026-08-01 15:11","1.88 GB","150","150","151","True","ce0a358ce210fa1b7faa27b32a4835f95f4b6bf235636ebe59c8dda2793bba6a","False"
"Turkic-World-Expanded","TWE","3668769244","421646","https://catalogue.smods.ru/archives/421646","Turkic World Expanded","3668769244","True","2026","1 May at 20:48 UTC","2026-05-01 20:48","1.53 MB","1","1","2","True","dd083812858b8a93ba8ccf1c974352c6a61bcc3d69b1985018e5f9b605659cfa","False"
"Western-Steppe-Expanded","WSE","3490396842","360256","https://catalogue.smods.ru/archives/360256","Western Steppe Expanded","3490396842","True","2026","20 Apr at 15:37 UTC","2026-04-20 15:37","14.56 MB","12","12","13","True","bd0e80421009597932a101b91cbddbe64924de5689122e80b3030cc3e2619ec4","False"
