"RevisionKey","Repo","Abbreviation","WorkshopId","CatalogueArchiveId","CatalogueUrl","SkymodsTitle","NewestOrdinal","IsCurrentRevision","RawDisplayedTime","NormalizedUtcTime","TimeParsed","DownloadUrl","PageReferenceYear","RawPageSha256","ContentVerified"
"2220098919|1","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","1","True","21 Apr at 18:34 UTC","2026-04-21 18:34","True","https://modsbase.com/4ul72nr980cp/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|2","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","2","False","27 Jan at 21:24 UTC","2026-01-27 21:24","True","https://modsbase.com/t314z6qwhs5y/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|3","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","3","False","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","True","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|4","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","4","False","11 Nov, 2025 at 16:03 UTC","2025-11-11 16:03","True","https://modsbase.com/csewo5p3q540/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|5","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","5","False","30 Oct, 2025 at 22:05 UTC","2025-10-30 22:05","True","https://modsbase.com/uxcp6czj07ys/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|6","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","6","False","28 Oct, 2025 at 17:28 UTC","2025-10-28 17:28","True","https://modsbase.com/x9mh0o8y7vc2/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|7","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","7","False","9 Sep, 2025 at 19:19 UTC","2025-09-09 19:19","True","https://modsbase.com/4kiim2oczi1a/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|8","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","8","False","21 Jul, 2025 at 14:51 UTC","2025-07-21 14:51","True","https://modsbase.com/gmag0sdmiaqw/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|9","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","9","False","28 Apr, 2025 at 13:15 UTC","2025-04-28 13:15","True","https://modsbase.com/buc5idx4zhup/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
"2220098919|10","Community-Flavor-Pack","CFP","2220098919","66558","https://catalogue.smods.ru/archives/66558","Community Flavor Pack","10","False","12 Mar, 2025 at 16:13 UTC","2025-03-12 16:13","True","https://modsbase.com/1xpp5gy4vzlz/2220098919_Community_Flavor_Pack.zip.html","2026","554413e37aa994e1dd78a1932f3345c41d11793b98c47fa4ec14247d8e24db7f","False"
