"Repo","Abbreviation","WorkshopId","CatalogueUrl"
"Community-Flavor-Pack","CFP","2220098919","https://catalogue.smods.ru/archives/66558"
"Culture-and-Faith-Granularity","CFG","3206891770","https://catalogue.smods.ru/archives/251333"
"Culture-Expanded","CE","2829397295","https://catalogue.smods.ru/archives/102619"
"Demand-Tribute","DT","3473488611","https://catalogue.smods.ru/archives/350915"
"EPE-CFP","EPE-CFP","2996881191","https://catalogue.smods.ru/archives/188635"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","https://catalogue.smods.ru/archives/79577"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","https://catalogue.smods.ru/archives/88794"
"MedievalImmersion","MI","3268020725","https://catalogue.smods.ru/archives/349431"
"MPE","MPE","3726274827","https://catalogue.smods.ru/archives/435984"
"RICE","RICE","2273832430","https://catalogue.smods.ru/archives/69887"
"Special-World","SW","2875587269","https://catalogue.smods.ru/archives/127297"
"Turkic-World-Expanded","TWE","3668769244","https://catalogue.smods.ru/archives/421646"
"Western-Steppe-Expanded","WSE","3490396842","https://catalogue.smods.ru/archives/360256"
