"Repo","Abbreviation","WorkshopId","SteamEventCount","SkymodsRevisionCount","SkymodsOldRevisionCount","TimeCandidatePairCount","SteamEventsWithArchiveCandidate","SteamEventsWithoutArchiveCandidate","CurrentSkymodsRevisionTime","WorkshopIdMatches"
"Community-Flavor-Pack","CFP","2220098919","129","92","91","152","119","10","2026-04-21 18:34","True"
"Culture-and-Faith-Granularity","CFG","3206891770","26","19","18","26","26","0","2026-04-20 22:37","True"
"Culture-Expanded","CE","2829397295","54","43","42","64","53","1","2026-05-25 15:54","True"
"Demand-Tribute","DT","3473488611","11","6","5","11","11","0","2025-10-29 10:52","True"
"EPE-CFP","EPE-CFP","2996881191","44","34","33","57","44","0","2026-06-07 19:39","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","86","68","67","88","79","7","2026-05-25 15:54","True"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","191","81","80","152","137","54","2026-05-01 18:37","True"
"MedievalImmersion","MI","3268020725","27","5","4","6","6","21","2025-12-21 21:27","True"
"MPE","MPE","3726274827","9","5","4","9","9","0","2026-08-08 02:03","True"
"RICE","RICE","2273832430","120","86","85","107","96","24","2026-07-26 19:25","True"
"Special-World","SW","2875587269","470","151","150","514","352","118","2026-08-01 15:11","True"
"Turkic-World-Expanded","TWE","3668769244","3","2","1","2","2","1","2026-05-01 20:48","True"
"Western-Steppe-Expanded","WSE","3490396842","28","13","12","18","16","12","2026-04-20 15:37","True"
