"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsIsCurrentRevision","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","Category","VerificationPriority","FirstPassRecommended","RelatedSteamEventCount","RelatedSteamEventKeys","RelatedGitCommitCount","RelatedGitCommitShas","Reason","ContentDownloaded","ContentVerified"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","3","False","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2220098919|3","1","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","steam-git-event-ambiguity","False","False"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","2","False","14 Nov, 2025 at 19:43 UTC","2025-11-14 19:43","https://modsbase.com/27ckb5ypg3ls/3206891770__Kei__Culture_and_Faith_Granularity.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","3206891770|3","1","2e2602f56ee08890cc915690989b121c299ca8d0","steam-git-event-ambiguity","False","False"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","11","False","9 Oct, 2024 at 18:28 UTC","2024-10-09 18:28","https://modsbase.com/1gafdql4u6rd/3206891770__Kei__Culture_and_Faith_Granularity_-_1.4.0___40_CK_1.13.___41_.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","3206891770|13","1","3b866d6489ab4552cf501aebce5f7836c90c45a5","steam-git-event-ambiguity","False","False"
"Culture-Expanded","CE","2829397295","2829397295|2","2","False","10 May at 05:30 UTC","2026-05-10 05:30","https://modsbase.com/fq40mr4kpv24/2829397295_Culture_Expanded.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2829397295|2","1","0804f6a73ecb93a2bfc8b048ae2730c242388a92","steam-git-event-ambiguity","False","False"
"Culture-Expanded","CE","2829397295","2829397295|3","3","False","26 Apr at 18:08 UTC","2026-04-26 18:08","https://modsbase.com/uw211c5pdxon/2829397295_Culture_Expanded.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2829397295|4","2","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae|dd4267956356f7e84f8e6bd84bea17c8ec45ee20","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","3","False","28 Apr at 12:48 UTC","2026-04-28 12:48","https://modsbase.com/rjwvsg632vic/2996881191_CFP___EPE_Compatibility_Patch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2996881191|3","2","dbebe469551c494e9481693a5ef74dcc847c77b7|ec21513d682e85426658aaf24cf68ccdd884adb9","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top","False","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","6","False","15 Dec, 2025 at 12:53 UTC","2025-12-15 12:53","https://modsbase.com/uuzk6p3u464b/2996881191_CFP___EPE_Compatibility_Patch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2996881191|7","1","25284d7351b6cdc292cdccb3ceed15ef5336622f","git-commit-has-multiple-archive-candidates","False","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","7","False","14 Dec, 2025 at 21:13 UTC","2025-12-14 21:13","https://modsbase.com/3e7d5b19qcjg/2996881191_CFP___EPE_Compatibility_Patch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2996881191|8","1","25284d7351b6cdc292cdccb3ceed15ef5336622f","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity","False","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","8","False","18 Nov, 2025 at 19:39 UTC","2025-11-18 19:39","https://modsbase.com/p20p4s4qq5uq/2996881191_CFP___EPE_Compatibility_Patch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2996881191|9","2","4ce6ce712925f0b928664bfbda395ca2b98fda0d|821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","9","False","12 Nov, 2025 at 13:52 UTC","2025-11-12 13:52","https://modsbase.com/rfsfv9wuf2ep/2996881191_CFP___EPE_Compatibility_Patch.zip.html","VERIFY_AMBIGUOUS_GIT","P0_AMBIGUOUS","True","1","2996881191|12","2","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f|4ce6ce712925f0b928664bfbda395ca2b98fda0d","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top","False","False"
