"Repo","Abbreviation","WorkshopId","EventKey","SteamNewestOrdinal","SteamRawDisplayedTime","SteamNormalizedFetchedTime","SteamVersionText","EventAutoClassification","GitOrdinal","GitCommitSha","GitSubject","GitDescriptorVersion","GitDescriptorWorkshopId","GitClassification","GitCandidateScore","GitIsEventTopCandidate","GitIsEventUniqueTopCandidate","CurrentHeadEvidence","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","ObservedOffsetHours","TemporalPairStatus","ArchiveCandidateGitCommitCount","GitCandidateArchiveRevisionCount","VerificationPriority","PriorityReason"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","3","12 Nov, 2025 @ 12:36pm","2025-11-12 12:36","Version 3.3.4","AMBIGUOUS","2","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","First","3.3.4","2220098919","NORMAL","95","True","True","False","2220098919|3","3","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","8","BIDIRECTIONAL_UNIQUE","1","1","P0_AMBIGUOUS","steam-git-event-ambiguity"
"Community-Flavor-Pack","CFP","2220098919","2220098919|2","2","27 Jan @ 1:24pm","2026-01-27 13:24","Version 3.3.5","STRONG_CANDIDATE","3","afa8f4eb4da627fe9d1c9ef60ff58ee3e6fed62d","2026.01.28","3.3.5","2220098919","NORMAL","225","True","True","False","2220098919|2","2","27 Jan at 21:24 UTC","2026-01-27 21:24","https://modsbase.com/t314z6qwhs5y/2220098919_Community_Flavor_Pack.zip.html","8","BIDIRECTIONAL_UNIQUE","1","1","P2_STRONG_GIT_CANDIDATE","strong-git-candidate"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|13","13","9 Oct, 2024 @ 11:28am","2024-10-09 11:28","1.4.0","AMBIGUOUS","2","3b866d6489ab4552cf501aebce5f7836c90c45a5","1.4.0","1.4.0","3422074499","EXTERNAL_DESCRIPTOR_MISMATCH","65","True","True","False","3206891770|11","11","9 Oct, 2024 at 18:28 UTC","2024-10-09 18:28","https://modsbase.com/1gafdql4u6rd/3206891770__Kei__Culture_and_Faith_Granularity_-_1.4.0___40_CK_1.13.___41_.zip.html","7","BIDIRECTIONAL_UNIQUE","1","1","P0_AMBIGUOUS","steam-git-event-ambiguity"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|3","3","14 Nov, 2025 @ 11:43am","2025-11-14 11:43","2.3.0","AMBIGUOUS","3","2e2602f56ee08890cc915690989b121c299ca8d0","2.3.0","2.3.0 - CK 1.18","3206891770","NORMAL","95","True","True","False","3206891770|2","2","14 Nov, 2025 at 19:43 UTC","2025-11-14 19:43","https://modsbase.com/27ckb5ypg3ls/3206891770__Kei__Culture_and_Faith_Granularity.zip.html","8","BIDIRECTIONAL_UNIQUE","1","1","P0_AMBIGUOUS","steam-git-event-ambiguity"
"Culture-Expanded","CE","2829397295","2829397295|4","4","26 Apr @ 11:08am","2026-04-26 11:08","","CANDIDATE","4","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","2026.04.21","1.0","2829397295","NORMAL","35","False","False","False","2829397295|3","3","26 Apr at 18:08 UTC","2026-04-26 18:08","https://modsbase.com/uw211c5pdxon/2829397295_Culture_Expanded.zip.html","7","BIDIRECTIONAL_UNIQUE","2","1","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"Culture-Expanded","CE","2829397295","2829397295|4","4","26 Apr @ 11:08am","2026-04-26 11:08","","CANDIDATE","5","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","2026.04.26","1.0","2829397295","NORMAL","165","True","True","False","2829397295|3","3","26 Apr at 18:08 UTC","2026-04-26 18:08","https://modsbase.com/uw211c5pdxon/2829397295_Culture_Expanded.zip.html","7","BIDIRECTIONAL_UNIQUE","2","1","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits"
"Culture-Expanded","CE","2829397295","2829397295|2","2","9 May @ 10:30pm","2026-05-09 22:30","","AMBIGUOUS","6","0804f6a73ecb93a2bfc8b048ae2730c242388a92","2026.05.10","1.0","2829397295","NORMAL","135","True","True","False","2829397295|2","2","10 May at 05:30 UTC","2026-05-10 05:30","https://modsbase.com/fq40mr4kpv24/2829397295_Culture_Expanded.zip.html","7","BIDIRECTIONAL_UNIQUE","1","1","P0_AMBIGUOUS","steam-git-event-ambiguity"
"Culture-Expanded","CE","2829397295","2829397295|7","7","12 Feb @ 6:55pm","2026-02-12 18:55","","CANDIDATE","2","5db0c9ce064448e50984a8c113d3dea1d5a17c45","2026.02.13","1.0","2829397295","NORMAL","135","True","True","False","2829397295|5","5","13 Feb at 02:55 UTC","2026-02-13 02:55","https://modsbase.com/cqwhfi002w8a/2829397295_Culture_Expanded.zip.html","8","BIDIRECTIONAL_UNIQUE","1","1","P1_VERIFY_GIT_CANDIDATE","git-candidate-needs-content-verification"
"Culture-Expanded","CE","2829397295","2829397295|6","6","18 Mar @ 7:50pm","2026-03-18 19:50","","CANDIDATE","3","9cf590790a7e257689388e0a8d06335e3fdaf4f5","2026.03.19","1.0","2829397295","NORMAL","135","True","True","False","2829397295|4","4","19 Mar at 02:50 UTC","2026-03-19 02:50","https://modsbase.com/qwu0h753b2w2/2829397295_Culture_Expanded.zip.html","7","BIDIRECTIONAL_UNIQUE","1","1","P1_VERIFY_GIT_CANDIDATE","git-candidate-needs-content-verification"
"Culture-Expanded","CE","2829397295","2829397295|1","1","25 May @ 8:54am","2026-05-25 08:54","","CURRENT_HEAD_EVIDENCE","7","07b7ca5ee4f0481ea9107d0299a90a396d2d78e8","2026.05.25","1.0","2829397295","NORMAL","565","True","True","True","2829397295|1","1","25 May at 15:54 UTC","2026-05-25 15:54","https://modsbase.com/r8tz6jvppldn/2829397295_Culture_Expanded.zip.html","7","BIDIRECTIONAL_UNIQUE","1","1","P3_CURRENT_HEAD_OPTIONAL","current-head-evidence"
"EPE-CFP","EPE-CFP","2996881191","2996881191|12","12","12 Nov, 2025 @ 5:52am","2025-11-12 05:52","","CANDIDATE","2","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","2025.11.13","4.5.0","2996881191","NORMAL","135","True","True","False","2996881191|9","9","12 Nov, 2025 at 13:52 UTC","2025-11-12 13:52","https://modsbase.com/rfsfv9wuf2ep/2996881191_CFP___EPE_Compatibility_Patch.zip.html","8","BIDIRECTIONAL_UNIQUE","2","2","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","9","18 Nov, 2025 @ 11:39am","2025-11-18 11:39","","CANDIDATE","2","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","2025.11.13","4.5.0","2996881191","NORMAL","35","False","False","False","2996881191|8","8","18 Nov, 2025 at 19:39 UTC","2025-11-18 19:39","https://modsbase.com/p20p4s4qq5uq/2996881191_CFP___EPE_Compatibility_Patch.zip.html","8","BIDIRECTIONAL_UNIQUE","2","2","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"EPE-CFP","EPE-CFP","2996881191","2996881191|12","12","12 Nov, 2025 @ 5:52am","2025-11-12 05:52","","CANDIDATE","3","4ce6ce712925f0b928664bfbda395ca2b98fda0d","2025.11.19","4.5.3","2996881191","NORMAL","35","False","False","False","2996881191|9","9","12 Nov, 2025 at 13:52 UTC","2025-11-12 13:52","https://modsbase.com/rfsfv9wuf2ep/2996881191_CFP___EPE_Compatibility_Patch.zip.html","8","BIDIRECTIONAL_UNIQUE","2","2","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","9","18 Nov, 2025 @ 11:39am","2025-11-18 11:39","","CANDIDATE","3","4ce6ce712925f0b928664bfbda395ca2b98fda0d","2025.11.19","4.5.3","2996881191","NORMAL","135","True","True","False","2996881191|8","8","18 Nov, 2025 at 19:39 UTC","2025-11-18 19:39","https://modsbase.com/p20p4s4qq5uq/2996881191_CFP___EPE_Compatibility_Patch.zip.html","8","BIDIRECTIONAL_UNIQUE","2","2","P0_AMBIGUOUS","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates"
