"EventKey","Repo","Abbreviation","WorkshopId","SteamNewestOrdinal","SteamRawDisplayedTime","SteamNormalizedFetchedTime","SteamVersionText","SkymodsRevisionKey","SkymodsNewestOrdinal","SkymodsIsCurrentRevision","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","SkymodsDownloadUrl","CalendarDayDelta","ObservedOffsetHours","RoundedWholeHourOffset","SameMinute","WholeHourOffset","OffsetClusterEligible","IsDominantOffsetMatch","TemporalPairStatus"
"2220098919|1","Community-Flavor-Pack","CFP","2220098919","1","21 Apr @ 11:34am","2026-04-21 11:34","Version 3.3.6","2220098919|1","1","True","21 Apr at 18:34 UTC","2026-04-21 18:34","https://modsbase.com/4ul72nr980cp/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|2","Community-Flavor-Pack","CFP","2220098919","2","27 Jan @ 1:24pm","2026-01-27 13:24","Version 3.3.5","2220098919|2","2","False","27 Jan at 21:24 UTC","2026-01-27 21:24","https://modsbase.com/t314z6qwhs5y/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|3","Community-Flavor-Pack","CFP","2220098919","3","12 Nov, 2025 @ 12:36pm","2025-11-12 12:36","Version 3.3.4","2220098919|3","3","False","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|3","Community-Flavor-Pack","CFP","2220098919","3","12 Nov, 2025 @ 12:36pm","2025-11-12 12:36","Version 3.3.4","2220098919|4","4","False","11 Nov, 2025 at 16:03 UTC","2025-11-11 16:03","https://modsbase.com/csewo5p3q540/2220098919_Community_Flavor_Pack.zip.html","-1","-20,55","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|4","Community-Flavor-Pack","CFP","2220098919","4","11 Nov, 2025 @ 8:03am","2025-11-11 08:03","Version 3.3.3","2220098919|3","3","False","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","1","36,55","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|4","Community-Flavor-Pack","CFP","2220098919","4","11 Nov, 2025 @ 8:03am","2025-11-11 08:03","Version 3.3.3","2220098919|4","4","False","11 Nov, 2025 at 16:03 UTC","2025-11-11 16:03","https://modsbase.com/csewo5p3q540/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|5","Community-Flavor-Pack","CFP","2220098919","5","30 Oct, 2025 @ 3:05pm","2025-10-30 15:05","Version 3.3.2","2220098919|5","5","False","30 Oct, 2025 at 22:05 UTC","2025-10-30 22:05","https://modsbase.com/uxcp6czj07ys/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|5","Community-Flavor-Pack","CFP","2220098919","5","30 Oct, 2025 @ 3:05pm","2025-10-30 15:05","Version 3.3.2","2220098919|6","6","False","28 Oct, 2025 at 17:28 UTC","2025-10-28 17:28","https://modsbase.com/x9mh0o8y7vc2/2220098919_Community_Flavor_Pack.zip.html","-2","-45,62","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|6","Community-Flavor-Pack","CFP","2220098919","6","28 Oct, 2025 @ 10:28am","2025-10-28 10:28","Version 3.3.1","2220098919|5","5","False","30 Oct, 2025 at 22:05 UTC","2025-10-30 22:05","https://modsbase.com/uxcp6czj07ys/2220098919_Community_Flavor_Pack.zip.html","2","59,62","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|6","Community-Flavor-Pack","CFP","2220098919","6","28 Oct, 2025 @ 10:28am","2025-10-28 10:28","Version 3.3.1","2220098919|6","6","False","28 Oct, 2025 at 17:28 UTC","2025-10-28 17:28","https://modsbase.com/x9mh0o8y7vc2/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|7","Community-Flavor-Pack","CFP","2220098919","7","28 Oct, 2025 @ 10:18am","2025-10-28 10:18","Version 3.3.0 « All Under Heaven » compatibility","2220098919|5","5","False","30 Oct, 2025 at 22:05 UTC","2025-10-30 22:05","https://modsbase.com/uxcp6czj07ys/2220098919_Community_Flavor_Pack.zip.html","2","59,78","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|7","Community-Flavor-Pack","CFP","2220098919","7","28 Oct, 2025 @ 10:18am","2025-10-28 10:18","Version 3.3.0 « All Under Heaven » compatibility","2220098919|6","6","False","28 Oct, 2025 at 17:28 UTC","2025-10-28 17:28","https://modsbase.com/x9mh0o8y7vc2/2220098919_Community_Flavor_Pack.zip.html","0","7,17","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|8","Community-Flavor-Pack","CFP","2220098919","8","9 Sep, 2025 @ 12:19pm","2025-09-09 12:19","Version 3.2.24","2220098919|7","7","False","9 Sep, 2025 at 19:19 UTC","2025-09-09 19:19","https://modsbase.com/4kiim2oczi1a/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|9","Community-Flavor-Pack","CFP","2220098919","9","21 Jul, 2025 @ 7:51am","2025-07-21 07:51","Version 3.2.23","2220098919|8","8","False","21 Jul, 2025 at 14:51 UTC","2025-07-21 14:51","https://modsbase.com/gmag0sdmiaqw/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|10","Community-Flavor-Pack","CFP","2220098919","10","28 Apr, 2025 @ 6:15am","2025-04-28 06:15","Version 3.2.22","2220098919|9","9","False","28 Apr, 2025 at 13:15 UTC","2025-04-28 13:15","https://modsbase.com/buc5idx4zhup/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|11","Community-Flavor-Pack","CFP","2220098919","11","12 Mar, 2025 @ 10:13am","2025-03-12 10:13","Version 3.2.21","2220098919|10","10","False","12 Mar, 2025 at 16:13 UTC","2025-03-12 16:13","https://modsbase.com/1xpp5gy4vzlz/2220098919_Community_Flavor_Pack.zip.html","0","6","6","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|12","Community-Flavor-Pack","CFP","2220098919","12","25 Feb, 2025 @ 6:41am","2025-02-25 06:41","Version 3.2.20","2220098919|11","11","False","25 Feb, 2025 at 14:41 UTC","2025-02-25 14:41","https://modsbase.com/7eh5s31zx0th/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|13","Community-Flavor-Pack","CFP","2220098919","13","27 Nov, 2024 @ 9:21am","2024-11-27 09:21","Version 3.2.19","2220098919|12","12","False","27 Nov, 2024 at 17:21 UTC","2024-11-27 17:21","https://modsbase.com/9kitkgh0g0ze/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|14","Community-Flavor-Pack","CFP","2220098919","14","4 Nov, 2024 @ 9:32am","2024-11-04 09:32","Version 3.2.18","2220098919|13","13","False","4 Nov, 2024 at 17:32 UTC","2024-11-04 17:32","https://modsbase.com/802j3dhy0ujb/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|15","Community-Flavor-Pack","CFP","2220098919","15","29 Sep, 2024 @ 11:46pm","2024-09-29 23:46","Version 3.2.17","2220098919|14","14","False","30 Sep, 2024 at 06:46 UTC","2024-09-30 06:46","https://modsbase.com/xtv1d1cdptuj/2220098919_Community_Flavor_Pack.zip.html","1","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|16","Community-Flavor-Pack","CFP","2220098919","16","29 Sep, 2024 @ 8:17am","2024-09-29 08:17","Version 3.2.16","2220098919|14","14","False","30 Sep, 2024 at 06:46 UTC","2024-09-30 06:46","https://modsbase.com/xtv1d1cdptuj/2220098919_Community_Flavor_Pack.zip.html","1","22,48","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|17","Community-Flavor-Pack","CFP","2220098919","17","24 Sep, 2024 @ 10:59am","2024-09-24 10:59","Version 3.2.15 « Roads to Power »","2220098919|15","15","False","24 Sep, 2024 at 17:59 UTC","2024-09-24 17:59","https://modsbase.com/f56t68dvcw5j/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|18","Community-Flavor-Pack","CFP","2220098919","18","4 Mar, 2024 @ 11:54am","2024-03-04 11:54","Version 3.2.14","2220098919|16","16","False","4 Mar, 2024 at 19:54 UTC","2024-03-04 19:54","https://modsbase.com/leeduli5poai/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|19","Community-Flavor-Pack","CFP","2220098919","19","6 Feb, 2024 @ 9:33am","2024-02-06 09:33","Version 3.2.13","2220098919|17","17","False","6 Feb, 2024 at 17:33 UTC","2024-02-06 17:33","https://modsbase.com/jz8fuvaxma4n/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|20","Community-Flavor-Pack","CFP","2220098919","20","23 Jan, 2024 @ 6:51am","2024-01-23 06:51","Version 3.2.12 - Compatibility with North African Attire Content Creator Pack.","2220098919|18","18","False","23 Jan, 2024 at 14:51 UTC","2024-01-23 14:51","https://modsbase.com/thzwywrcosej/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|21","Community-Flavor-Pack","CFP","2220098919","21","16 Nov, 2023 @ 2:34am","2023-11-16 02:34","Version 3.2.11","2220098919|19","19","False","16 Nov, 2023 at 10:34 UTC","2023-11-16 10:34","https://modsbase.com/lqbqt21hff0s/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|22","Community-Flavor-Pack","CFP","2220098919","22","9 Nov, 2023 @ 10:03am","2023-11-09 10:03","Version 3.2.10","2220098919|20","20","False","9 Nov, 2023 at 18:03 UTC","2023-11-09 18:03","https://modsbase.com/h3lh5rnc950y/2220098919_Community_Flavor_Pack.zip.html","0","8","8","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|23","Community-Flavor-Pack","CFP","2220098919","23","22 Aug, 2023 @ 8:41am","2023-08-22 08:41","Version 3.2.9","2220098919|21","21","False","22 Aug, 2023 at 15:41 UTC","2023-08-22 15:41","https://modsbase.com/ji6ovfu48clk/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|24","Community-Flavor-Pack","CFP","2220098919","24","15 Jun, 2023 @ 5:50am","2023-06-15 05:50","Version 3.2.8","2220098919|22","22","False","15 Jun, 2023 at 12:50 UTC","2023-06-15 12:50","https://modsbase.com/1qvne2ux4v71/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|25","Community-Flavor-Pack","CFP","2220098919","25","6 Jun, 2023 @ 10:02am","2023-06-06 10:02","Version 3.2.7","2220098919|23","23","False","6 Jun, 2023 at 17:02 UTC","2023-06-06 17:02","https://modsbase.com/6u1nh5rq4nmz/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|26","Community-Flavor-Pack","CFP","2220098919","26","30 May, 2023 @ 9:43am","2023-05-30 09:43","Version 3.2.6","2220098919|24","24","False","30 May, 2023 at 16:43 UTC","2023-05-30 16:43","https://modsbase.com/j72flcz6ow20/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|27","Community-Flavor-Pack","CFP","2220098919","27","16 May, 2023 @ 12:31pm","2023-05-16 12:31","Version 3.2.5","2220098919|25","25","False","16 May, 2023 at 19:31 UTC","2023-05-16 19:31","https://modsbase.com/aanrujy521h0/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|27","Community-Flavor-Pack","CFP","2220098919","27","16 May, 2023 @ 12:31pm","2023-05-16 12:31","Version 3.2.5","2220098919|26","26","False","14 May, 2023 at 10:31 UTC","2023-05-14 10:31","https://modsbase.com/od1h0nanm7xk/2220098919_Community_Flavor_Pack.zip.html","-2","-50","-50","True","True","False","False","WEAK_TIME_CANDIDATE"
"2220098919|28","Community-Flavor-Pack","CFP","2220098919","28","14 May, 2023 @ 3:31am","2023-05-14 03:31","Version 3.2.4","2220098919|25","25","False","16 May, 2023 at 19:31 UTC","2023-05-16 19:31","https://modsbase.com/aanrujy521h0/2220098919_Community_Flavor_Pack.zip.html","2","64","64","True","True","False","False","WEAK_TIME_CANDIDATE"
"2220098919|28","Community-Flavor-Pack","CFP","2220098919","28","14 May, 2023 @ 3:31am","2023-05-14 03:31","Version 3.2.4","2220098919|26","26","False","14 May, 2023 at 10:31 UTC","2023-05-14 10:31","https://modsbase.com/od1h0nanm7xk/2220098919_Community_Flavor_Pack.zip.html","0","7","7","True","True","True","True","BIDIRECTIONAL_UNIQUE"
"2220098919|29","Community-Flavor-Pack","CFP","2220098919","29","13 May, 2023 @ 6:11am","2023-05-13 06:11","Version 3.2.3","2220098919|26","26","False","14 May, 2023 at 10:31 UTC","2023-05-14 10:31","https://modsbase.com/od1h0nanm7xk/2220098919_Community_Flavor_Pack.zip.html","1","28,33","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|29","Community-Flavor-Pack","CFP","2220098919","29","13 May, 2023 @ 6:11am","2023-05-13 06:11","Version 3.2.3","2220098919|27","27","False","11 May, 2023 at 18:47 UTC","2023-05-11 18:47","https://modsbase.com/j358tb33axk8/2220098919_Community_Flavor_Pack.zip.html","-2","-35,4","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|30","Community-Flavor-Pack","CFP","2220098919","30","12 May, 2023 @ 5:52am","2023-05-12 05:52","","2220098919|26","26","False","14 May, 2023 at 10:31 UTC","2023-05-14 10:31","https://modsbase.com/od1h0nanm7xk/2220098919_Community_Flavor_Pack.zip.html","2","52,65","","False","False","False","False","WEAK_TIME_CANDIDATE"
"2220098919|30","Community-Flavor-Pack","CFP","2220098919","30","12 May, 2023 @ 5:52am","2023-05-12 05:52","","2220098919|27","27","False","11 May, 2023 at 18:47 UTC","2023-05-11 18:47","https://modsbase.com/j358tb33axk8/2220098919_Community_Flavor_Pack.zip.html","-1","-11,08","","False","False","False","False","WEAK_TIME_CANDIDATE"
