"Repo","SteamEventCount","SkymodsRevisionCount","DominantTemporalPairCount","BidirectionalUniquePairCount","TemporalAmbiguityPairCount","GitCommitCount","GitCommitsWithArchiveCandidate","FirstPassGitCommitCount","FirstPassRevisionCount","RecoveryCandidateRevisionCount","NoDominantTimeMatchRevisionCount"
"Community-Flavor-Pack","129","92","93","91","2","3","2","1","1","89","0"
"Culture-and-Faith-Granularity","26","19","19","19","0","3","2","2","2","17","0"
"Culture-Expanded","54","43","43","41","2","7","6","3","2","36","0"
"Demand-Tribute","11","6","6","6","0","2","0","0","0","6","0"
"EPE-CFP","44","34","34","32","2","10","9","5","5","23","0"
"Ethnicities-and-Portraits-Expanded","86","68","68","62","6","16","15","11","5","53","0"
"MBP-EPE-CFP","191","81","81","81","0","6","2","1","1","79","0"
"MedievalImmersion","27","5","5","5","0","4","0","0","0","5","0"
"MPE","9","5","5","5","0","6","6","4","3","0","0"
"RICE","120","86","86","84","2","16","15","15","12","72","0"
"Special-World","470","151","151","151","0","37","34","33","21","129","0"
"Turkic-World-Expanded","3","2","2","2","0","2","0","0","0","2","0"
"Western-Steppe-Expanded","28","13","13","13","0","4","2","0","0","11","0"
