"Repo","Abbreviation","WorkshopIdExpected","SkymodsRevisionKey","DescriptorPath","DescriptorName","DescriptorVersion","DescriptorSupportedVersion","DescriptorRemoteFileId","DescriptorWorkshopIdMatches","DescriptorCountInArchive"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","descriptor.mod","Community Flavor Pack","3.3.4","1.18.*","2220098919","True","1"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","descriptor.mod","[Kei] Culture and Faith Granularity","2.3.0 - CK 1.18","1.18.*","3206891770","True","1"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","descriptor.mod","[Kei] Culture and Faith Granularity - 1.4.0 (CK 1.13.*)","1.4.0","1.13.*","3206891770","True","1"
"Culture-Expanded","CE","2829397295","2829397295|2","descriptor.mod","Culture Expanded","1.0","1.19.0.5","2829397295","True","1"
"Culture-Expanded","CE","2829397295","2829397295|3","descriptor.mod","Culture Expanded","1.0","1.19.0.4","2829397295","True","1"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","descriptor.mod","CFP + EPE Compatibility Patch","5.1.1","1.19.0.4","2996881191","True","1"
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","descriptor.mod","CFP + EPE Compatibility Patch","4.7.1","1.18.2.*","2996881191","True","1"
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","descriptor.mod","CFP + EPE Compatibility Patch","4.7.0","1.18.2.*","2996881191","True","1"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","descriptor.mod","CFP + EPE Compatibility Patch","4.5.3","1.18.1.*","2996881191","True","1"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","descriptor.mod","CFP + EPE Compatibility Patch","4.5.0","1.18.*","2996881191","True","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","descriptor.mod","Ethnicities and Portraits Expanded","1.0","1.19.0.4","2507209632","True","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","descriptor.mod","Ethnicities and Portraits Expanded","1.0","1.18.4","2507209632","True","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","descriptor.mod","Ethnicities and Portraits Expanded","1.0","1.18.2","2507209632","True","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","descriptor.mod","Ethnicities and Portraits Expanded","1.0","1.18.1.1","2507209632","True","1"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","descriptor.mod","Ethnicities and Portraits Expanded","1.0","1.18.0.2","2507209632","True","1"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","descriptor.mod","MB + EPE/CFP","1.0","1.18.4","2543865921","True","1"
"MPE","MPE","3726274827","3726274827|2","descriptor.mod","MPE for AUH -beta","0.01","1.19.0.6","3726274827","True","1"
"MPE","MPE","3726274827","3726274827|4","descriptor.mod","MPE for AUH -beta","0.01","1.19.0.5","3726274827","True","1"
"MPE","MPE","3726274827","3726274827|5","descriptor.mod","MPE for AUH -beta","0.01","1.19.0.5","3726274827","True","1"
"RICE","RICE","2273832430","2273832430|1","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.19.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|2","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.19.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|3","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.19.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|4","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.19.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|5","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|6","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|7","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|8","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|9","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|10","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|11","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.18.*","2273832430","True","1"
"RICE","RICE","2273832430","2273832430|29","descriptor.mod","Regional Immersion and Cultural Enrichment (RICE)","1.3.0","1.13.*","2273832430","True","1"
"Special-World","SW","2875587269","2875587269|1","descriptor.mod","A Special World - Special Building Compatch","1.0","1.19.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|2","descriptor.mod","A Special World - Special Building Compatch","1.0","1.19.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|3","descriptor.mod","A Special World - Special Building Compatch","1.0","1.19.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|5","descriptor.mod","A Special World - Special Building Compatch","1.0","1.19.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|6","descriptor.mod","A Special World - Special Building Compatch","1.0","1.19.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|7","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|8","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|9","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|10","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|11","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|12","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|13","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|14","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|15","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
"Special-World","SW","2875587269","2875587269|16","descriptor.mod","A Special World - Special Building Compatch","1.0","1.18.*","2875587269","True","1"
