"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","SkymodsRawDisplayedTime","SkymodsNormalizedUtcTime","ModsbasePageUrl","DownloadMethod","ArchiveCachePath","ArchiveBytes","ArchiveMiB","ArchiveSha256","ArchiveFileCount","ArchiveRootSelection"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","12 Nov, 2025 at 20:36 UTC","2025-11-12 20:36","https://modsbase.com/61q8e7dy4df3/2220098919_Community_Flavor_Pack.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2220098919_3.zip","1039862786","991,69","2fda79b5c4bc80de76c37a7a35ebd266a78546edca0512f53658882a073114ed","3073","EXPECTED_WORKSHOP_ID"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","14 Nov, 2025 at 19:43 UTC","2025-11-14 19:43","https://modsbase.com/27ckb5ypg3ls/3206891770__Kei__Culture_and_Faith_Granularity.zip.html","ANALYSIS08_CACHE","analysis/cache/09-first-pass-archive-verification/archives/3206891770_2.zip","1127292","1,075","cb2d37d94e98c95a4597af10e2b28798e486343349a56dccc71c1896c5f05ccc","246","EXPECTED_WORKSHOP_ID"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","9 Oct, 2024 at 18:28 UTC","2024-10-09 18:28","https://modsbase.com/1gafdql4u6rd/3206891770__Kei__Culture_and_Faith_Granularity_-_1.4.0___40_CK_1.13.___41_.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/3206891770_11.zip","1048948","1","333b11faf92e3bf83a97a79fe6404d57603028fe026bff6f2612542b6669b3d2","231","EXPECTED_WORKSHOP_ID"
"Culture-Expanded","CE","2829397295","2829397295|2","10 May at 05:30 UTC","2026-05-10 05:30","https://modsbase.com/fq40mr4kpv24/2829397295_Culture_Expanded.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2829397295_2.zip","16842011","16,062","633492efc35793be4629f85e74325ca4842abe4bb9c8412a0e7b0aa441edb390","793","EXPECTED_WORKSHOP_ID"
"Culture-Expanded","CE","2829397295","2829397295|3","26 Apr at 18:08 UTC","2026-04-26 18:08","https://modsbase.com/uw211c5pdxon/2829397295_Culture_Expanded.zip.html","ANALYSIS08_CACHE","analysis/cache/09-first-pass-archive-verification/archives/2829397295_3.zip","16097297","15,352","da28c5050f2e552bf2a0e914218b963e8e68ea0340edb89d89b045c7f37e0798","793","EXPECTED_WORKSHOP_ID"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","28 Apr at 12:48 UTC","2026-04-28 12:48","https://modsbase.com/rjwvsg632vic/2996881191_CFP___EPE_Compatibility_Patch.zip.html","ANALYSIS08_CACHE","analysis/cache/09-first-pass-archive-verification/archives/2996881191_3.zip","822849","0,785","013cb80cef1d3a2bd2b2682574e4d5f3f46be48c46054dd3f8b577baaf3cade8","48","EXPECTED_WORKSHOP_ID"
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","15 Dec, 2025 at 12:53 UTC","2025-12-15 12:53","https://modsbase.com/uuzk6p3u464b/2996881191_CFP___EPE_Compatibility_Patch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2996881191_6.zip","795812","0,759","512e0bad8d31063278a2a176d40a4bd40b1b9a0cbba102659e98b2c0b26458fd","40","EXPECTED_WORKSHOP_ID"
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","14 Dec, 2025 at 21:13 UTC","2025-12-14 21:13","https://modsbase.com/3e7d5b19qcjg/2996881191_CFP___EPE_Compatibility_Patch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2996881191_7.zip","817378","0,78","f8982f70f2bc83986a61e8a3344f75ae0a31933010cfa4876c69653aab67fd5c","41","EXPECTED_WORKSHOP_ID"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","18 Nov, 2025 at 19:39 UTC","2025-11-18 19:39","https://modsbase.com/p20p4s4qq5uq/2996881191_CFP___EPE_Compatibility_Patch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2996881191_8.zip","784825","0,748","a8222e1d4c723d5598aa41725ac039367af6055051577176f14605ae5fb8e92c","36","EXPECTED_WORKSHOP_ID"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","12 Nov, 2025 at 13:52 UTC","2025-11-12 13:52","https://modsbase.com/rfsfv9wuf2ep/2996881191_CFP___EPE_Compatibility_Patch.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2996881191_9.zip","783440","0,747","333dd765e0f6536f1b354547b290e36a8e451393c8302fd71154b8fa01f6a223","33","EXPECTED_WORKSHOP_ID"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","28 Apr at 04:05 UTC","2026-04-28 04:05","https://modsbase.com/1hm9i1lbdwhu/2507209632_Ethnicities___Portraits_Expanded.zip.html","CHROME_CDP","analysis/cache/09-first-pass-archive-verification/archives/2507209632_3.zip","1663459291","1586,398","b9773fc694ad793b4f74be2ab7bb409119f22788aa5ad12cbd70cd0f468a33cc","9626","EXPECTED_WORKSHOP_ID"
