"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","GitCommitSha","GitTrackedFileCount","GitComparableFileCount","ExcludedRepositoryMetadataCount","MatchingTrackedFileCount","MissingFromArchiveCount","BlobMismatchCount","ArchiveExtraFileCount","DescriptorWorkshopIdMatches","ProjectedTrackedContentMatch"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","231","230","1","230","0","0","2842","True","True"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","2e2602f56ee08890cc915690989b121c299ca8d0","232","231","1","231","0","0","15","True","True"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","3b866d6489ab4552cf501aebce5f7836c90c45a5","215","214","1","213","0","1","17","True","False"
"Culture-Expanded","CE","2829397295","2829397295|2","0804f6a73ecb93a2bfc8b048ae2730c242388a92","648","647","1","647","0","0","146","True","True"
"Culture-Expanded","CE","2829397295","2829397295|3","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","648","647","1","647","0","0","146","True","True"
"Culture-Expanded","CE","2829397295","2829397295|3","dd4267956356f7e84f8e6bd84bea17c8ec45ee20","648","647","1","642","0","5","146","True","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","dbebe469551c494e9481693a5ef74dcc847c77b7","48","48","0","48","0","0","0","True","True"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","ec21513d682e85426658aaf24cf68ccdd884adb9","47","47","0","42","0","5","1","True","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","25284d7351b6cdc292cdccb3ceed15ef5336622f","40","40","0","40","0","0","0","True","True"
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","25284d7351b6cdc292cdccb3ceed15ef5336622f","40","40","0","39","0","1","1","True","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","4ce6ce712925f0b928664bfbda395ca2b98fda0d","36","36","0","36","0","0","0","True","True"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","33","33","0","23","0","10","3","True","False"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","33","33","0","33","0","0","0","True","True"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","4ce6ce712925f0b928664bfbda395ca2b98fda0d","36","36","0","23","3","10","0","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","d18bd456a64d6b756bc5c51a22a5f4b931dea401","4667","4666","1","4645","0","21","4960","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","89af2c6f05c3e771a5d540012639759e8bdbb804","4668","4667","1","4667","0","0","4959","True","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","acca03321fce1ea242cdacba66f3d2c97a622d06","4665","4664","1","4640","0","24","4962","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","01623125ad685892e015bde075febb957368e178","4657","4656","1","4656","0","0","4927","True","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","0a56c30b2fc9fbf7feac6efb2dbf0c13a790c1eb","4657","4656","1","4536","0","120","4927","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","e22986746fdb4b6cca0724d22e5a4089c1ada711","1411","1410","1","1410","0","0","8173","True","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","bea606d31f179e2f4e6552ab88b613bbe6bf4619","4647","4646","1","4646","0","0","4746","True","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","f80b05bd4c1d6488d1f1bdefa6839f9bdb003813","4647","4646","1","4644","0","2","4746","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","6da86181eb50d0403af87630acec947f1742ebdb","4639","4638","1","4545","0","93","4754","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","541b16c138e3574ce547b5a4a43ef3cfdf215854","490","489","1","489","0","0","8844","True","True"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","b36c5a961967d25e197c816b18a6aaf7eaa0428c","4638","4637","1","4598","0","39","4696","True","False"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","b36c5a961967d25e197c816b18a6aaf7eaa0428c","4638","4637","1","4636","0","1","4684","True","False"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","c86a00c074ec2900035bcd8cca81c850b38d6a3c","316","316","0","316","0","0","0","True","True"
"MPE","MPE","3726274827","3726274827|2","3273a06395ca26775180f80c19adcba89fbe4fe3","512","512","0","512","0","0","5156","True","True"
"MPE","MPE","3726274827","3726274827|4","2b645ef19806ff0fc1030944bba5f607da2e25d8","483","483","0","483","0","0","5156","True","True"
"MPE","MPE","3726274827","3726274827|4","c88f6de5838518fb3721392953db7bf1e47afc59","483","483","0","454","1","28","5157","True","False"
"MPE","MPE","3726274827","3726274827|4","bda26e2f7f05946fad97191229afe72c6d9a3f9e","475","475","0","445","0","30","5164","True","False"
"MPE","MPE","3726274827","3726274827|5","c88f6de5838518fb3721392953db7bf1e47afc59","483","483","0","464","8","11","5156","True","False"
"MPE","MPE","3726274827","3726274827|5","bda26e2f7f05946fad97191229afe72c6d9a3f9e","475","475","0","475","0","0","5156","True","True"
"MPE","MPE","3726274827","3726274827|5","2b645ef19806ff0fc1030944bba5f607da2e25d8","483","483","0","445","8","30","5156","True","False"
"RICE","RICE","2273832430","2273832430|1","9a3484844539b6a48bad484b98d189216412077d","2444","2443","1","2443","0","0","1975","True","True"
"RICE","RICE","2273832430","2273832430|2","9a8ce64d80233a6e638a628b3db4bbcea64c3ebb","2449","2448","1","2448","0","0","1972","True","True"
"RICE","RICE","2273832430","2273832430|3","4615a5c22b57137e721bbc088bf3847b0b524045","2396","2395","1","2395","0","0","1933","True","True"
"RICE","RICE","2273832430","2273832430|4","dd84e726f4a52dd2a25804a07605f7d0f8b147ad","2396","2395","1","2299","10","86","1933","True","False"
"RICE","RICE","2273832430","2273832430|4","d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4","2386","2385","1","2385","0","0","1933","True","True"
"RICE","RICE","2273832430","2273832430|5","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","2238","2237","1","2237","0","0","1875","True","True"
"RICE","RICE","2273832430","2273832430|6","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","2197","2196","1","2179","1","16","1864","True","False"
"RICE","RICE","2273832430","2273832430|6","e2f5f564b25bd86dd6517cc40bf7442475aed41c","2196","2195","1","2195","0","0","1864","True","True"
"RICE","RICE","2273832430","2273832430|6","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","2196","2195","1","2147","0","48","1864","True","False"
"RICE","RICE","2273832430","2273832430|7","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","2197","2196","1","2196","0","0","1864","True","True"
"RICE","RICE","2273832430","2273832430|7","e2f5f564b25bd86dd6517cc40bf7442475aed41c","2196","2195","1","2179","0","16","1865","True","False"
"RICE","RICE","2273832430","2273832430|7","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","2196","2195","1","2161","0","34","1865","True","False"
"RICE","RICE","2273832430","2273832430|8","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","2196","2195","1","2195","0","0","1857","True","True"
"RICE","RICE","2273832430","2273832430|8","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","2197","2196","1","2161","1","34","1857","True","False"
"RICE","RICE","2273832430","2273832430|9","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","2144","2143","1","2143","0","0","1827","True","True"
"RICE","RICE","2273832430","2273832430|9","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","2144","2143","1","2088","0","55","1827","True","False"
"RICE","RICE","2273832430","2273832430|9","e3c5eb10aeee7604aec826fc62fcbc53d64284ec","2144","2143","1","1986","1","156","1828","True","False"
"RICE","RICE","2273832430","2273832430|10","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","2144","2143","1","2143","0","0","1823","True","True"
"RICE","RICE","2273832430","2273832430|10","e3c5eb10aeee7604aec826fc62fcbc53d64284ec","2144","2143","1","2035","1","107","1824","True","False"
"RICE","RICE","2273832430","2273832430|10","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","2144","2143","1","2088","0","55","1823","True","False"
"RICE","RICE","2273832430","2273832430|11","e3c5eb10aeee7604aec826fc62fcbc53d64284ec","2144","2143","1","2020","0","123","1822","True","False"
"RICE","RICE","2273832430","2273832430|11","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","2144","2143","1","1924","1","218","1823","True","False"
"RICE","RICE","2273832430","2273832430|11","928fd31902aae67f7ed963ea988f98ed8a9746b2","2144","2143","1","2143","0","0","1822","True","True"
"RICE","RICE","2273832430","2273832430|11","138913511f7cc9aefa55a8c70b4546ee8509d5f6","1897","1896","1","1388","36","472","2105","True","False"
"RICE","RICE","2273832430","2273832430|29","1e4238bd030ef259bcae60147126f3cc9c950ceb","2445","2444","1","709","1006","729","1467","True","False"
"RICE","RICE","2273832430","2273832430|29","9a3484844539b6a48bad484b98d189216412077d","2444","2443","1","710","1005","728","1467","True","False"
"RICE","RICE","2273832430","2273832430|29","9a8ce64d80233a6e638a628b3db4bbcea64c3ebb","2449","2448","1","712","1010","726","1467","True","False"
"RICE","RICE","2273832430","2273832430|29","4615a5c22b57137e721bbc088bf3847b0b524045","2396","2395","1","714","953","728","1463","True","False"
"RICE","RICE","2273832430","2273832430|29","dd84e726f4a52dd2a25804a07605f7d0f8b147ad","2396","2395","1","714","953","728","1463","True","False"
"RICE","RICE","2273832430","2273832430|29","d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4","2386","2385","1","718","943","724","1463","True","False"
"RICE","RICE","2273832430","2273832430|29","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","2238","2237","1","728","762","747","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","e2f5f564b25bd86dd6517cc40bf7442475aed41c","2196","2195","1","751","720","724","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","2197","2196","1","754","721","721","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","2196","2195","1","753","720","722","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","3fccb9af9d3a57422f919b096eee2e1f9aca1f88","2144","2143","1","760","668","715","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","dcb50b0af9410c380ba4da4ed5d25e9b1a0540d2","2144","2143","1","760","668","715","1430","True","False"
"RICE","RICE","2273832430","2273832430|29","e3c5eb10aeee7604aec826fc62fcbc53d64284ec","2144","2143","1","763","667","713","1429","True","False"
"RICE","RICE","2273832430","2273832430|29","928fd31902aae67f7ed963ea988f98ed8a9746b2","2144","2143","1","777","667","699","1429","True","False"
"RICE","RICE","2273832430","2273832430|29","138913511f7cc9aefa55a8c70b4546ee8509d5f6","1897","1896","1","868","397","631","1406","True","False"
"Special-World","SW","2875587269","2875587269|1","62f33e63129a4196cf45d750c5c4f9316cd368fe","320","319","1","319","0","0","2663","True","True"
"Special-World","SW","2875587269","2875587269|1","4bb54881d2e35563f8db910cd3682869b875f706","320","319","1","315","0","4","2663","True","False"
"Special-World","SW","2875587269","2875587269|2","0c51d727a0c8d83f8ebdb48f8b73c43737e1dbca","312","311","1","292","1","18","2672","True","False"
"Special-World","SW","2875587269","2875587269|2","f6452b9e2fdf635070305178f98828371a150190","320","319","1","305","0","14","2663","True","False"
"Special-World","SW","2875587269","2875587269|3","a8ada073cbf32d42c4f9928040d8183309e83563","316","315","1","310","0","5","3255","True","False"
"Special-World","SW","2875587269","2875587269|3","83032b87bb5b0f3ab378fb348fa4610f3ed71110","316","315","1","315","0","0","3255","True","True"
"Special-World","SW","2875587269","2875587269|3","f4aa884373df976e5da19fff5f1109bfc83b7451","316","315","1","313","0","2","3255","True","False"
"Special-World","SW","2875587269","2875587269|5","1eeaf8d51248fc7c41d8340a9ce7353020550954","320","319","1","319","0","0","3244","True","True"
"Special-World","SW","2875587269","2875587269|5","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090","320","319","1","318","0","1","3244","True","False"
"Special-World","SW","2875587269","2875587269|5","ed7d7be79ddaf725d79dff90abf05eba19e7c2e7","320","319","1","308","2","9","3246","True","False"
"Special-World","SW","2875587269","2875587269|6","d78a822ab3d7e0eae87367e2a2230fd7ef0b7090","320","319","1","319","0","0","3244","True","True"
"Special-World","SW","2875587269","2875587269|6","ed7d7be79ddaf725d79dff90abf05eba19e7c2e7","320","319","1","309","2","8","3246","True","False"
"Special-World","SW","2875587269","2875587269|6","5e196a059c4a801d23e4200abc83d05b3838c29a","321","320","1","307","3","10","3246","True","False"
"Special-World","SW","2875587269","2875587269|6","1eeaf8d51248fc7c41d8340a9ce7353020550954","320","319","1","318","0","1","3244","True","False"
"Special-World","SW","2875587269","2875587269|6","a8bfe78d253cb661b4d2b7d3bd462be98330f8a4","323","322","1","307","5","10","3246","True","False"
"Special-World","SW","2875587269","2875587269|6","e73d268fb26b7d31a7d547d39ad95005358d85e9","323","322","1","297","6","19","3247","True","False"
"Special-World","SW","2875587269","2875587269|7","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","326","325","1","316","0","9","2700","True","False"
"Special-World","SW","2875587269","2875587269|7","079d5a19aae0272124debd3075f1be8c94c2a127","326","325","1","325","0","0","2700","True","True"
"Special-World","SW","2875587269","2875587269|7","7a988841a4ba8a4aaf107e9a743a9127443de517","324","323","1","313","0","10","2702","True","False"
"Special-World","SW","2875587269","2875587269|8","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","326","325","1","325","0","0","2700","True","True"
"Special-World","SW","2875587269","2875587269|8","079d5a19aae0272124debd3075f1be8c94c2a127","326","325","1","316","0","9","2700","True","False"
"Special-World","SW","2875587269","2875587269|8","7a988841a4ba8a4aaf107e9a743a9127443de517","324","323","1","317","0","6","2702","True","False"
"Special-World","SW","2875587269","2875587269|8","1a1b6fc88f3549885518ead116df2f6f0cd55b4b","324","323","1","298","0","25","2702","True","False"
"Special-World","SW","2875587269","2875587269|9","1a1b6fc88f3549885518ead116df2f6f0cd55b4b","324","323","1","303","0","20","2713","True","False"
"Special-World","SW","2875587269","2875587269|9","7a988841a4ba8a4aaf107e9a743a9127443de517","324","323","1","323","0","0","2713","True","True"
"Special-World","SW","2875587269","2875587269|9","fb9749b56200ff16abb9fec81ddcb0fe266eb35b","325","324","1","298","1","25","2713","True","False"
"Special-World","SW","2875587269","2875587269|9","9f4303d3f29ed5b04b3589ffdd2c069f44f8e811","326","325","1","317","2","6","2713","True","False"
"Special-World","SW","2875587269","2875587269|10","82f9a80b847cebb359e9b8797be9b85058fc99e7","325","324","1","324","0","0","2713","True","True"
"Special-World","SW","2875587269","2875587269|10","35b31d96b564aa28b6abc3079864e8cb73caa66d","325","324","1","308","0","16","2713","True","False"
"Special-World","SW","2875587269","2875587269|10","fb9749b56200ff16abb9fec81ddcb0fe266eb35b","325","324","1","318","0","6","2713","True","False"
"Special-World","SW","2875587269","2875587269|10","be266d10ef71a8ae6d1b26920fcb063039aa7d5c","324","323","1","284","3","36","2717","True","False"
"Special-World","SW","2875587269","2875587269|11","be266d10ef71a8ae6d1b26920fcb063039aa7d5c","324","323","1","323","0","0","2709","True","True"
"Special-World","SW","2875587269","2875587269|11","9ee299267667b7f65add26844e8520da320efdae","323","322","1","321","0","1","2710","True","False"
"Special-World","SW","2875587269","2875587269|11","35b31d96b564aa28b6abc3079864e8cb73caa66d","325","324","1","296","4","24","2712","True","False"
"Special-World","SW","2875587269","2875587269|11","0d6593821735eed75eeea01feaa347e3323e81f6","323","322","1","308","0","14","2710","True","False"
"Special-World","SW","2875587269","2875587269|12","04978e0c73beff81e806fb0433ea3ad95cf3a589","321","320","1","310","0","10","2681","True","False"
"Special-World","SW","2875587269","2875587269|12","fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","317","316","1","273","2","41","2687","True","False"
"Special-World","SW","2875587269","2875587269|13","fc1bca8d5e65a0a82dfb0ac58e4d4858ed83afac","317","316","1","316","0","0","2679","True","True"
"Special-World","SW","2875587269","2875587269|13","04978e0c73beff81e806fb0433ea3ad95cf3a589","321","320","1","275","6","39","2681","True","False"
"Special-World","SW","2875587269","2875587269|14","688be509388ead75fa299018dcdde17ba4c8f5f5","315","314","1","314","0","0","2718","True","True"
"Special-World","SW","2875587269","2875587269|14","59197499171ff9f910d90d8b03407b7388b43847","315","314","1","309","0","5","2718","True","False"
"Special-World","SW","2875587269","2875587269|15","59197499171ff9f910d90d8b03407b7388b43847","315","314","1","314","0","0","2718","True","True"
"Special-World","SW","2875587269","2875587269|15","688be509388ead75fa299018dcdde17ba4c8f5f5","315","314","1","309","0","5","2718","True","False"
"Special-World","SW","2875587269","2875587269|16","825da8e0f5e4b60f964301e80c5665a8a8426fc2","316","315","1","315","0","0","2718","True","True"
"Special-World","SW","2875587269","2875587269|16","281142eee5206dc821e274b9db26da1428e16fc0","316","315","1","312","0","3","2718","True","False"
"Special-World","SW","2875587269","2875587269|16","bd48aaacb89f48226bbaf66fad12ba33907e5c46","316","315","1","308","0","7","2718","True","False"
"Special-World","SW","2875587269","2875587269|17","bd48aaacb89f48226bbaf66fad12ba33907e5c46","316","315","1","315","0","0","2718","True","True"
"Special-World","SW","2875587269","2875587269|17","281142eee5206dc821e274b9db26da1428e16fc0","316","315","1","311","0","4","2718","True","False"
"Special-World","SW","2875587269","2875587269|18","a2f8e19bc24921e55b1459032bf255d0a02d4507","319","318","1","316","2","0","2710","True","False"
"Special-World","SW","2875587269","2875587269|19","a2f8e19bc24921e55b1459032bf255d0a02d4507","319","318","1","313","2","3","2710","True","False"
"Special-World","SW","2875587269","2875587269|23","5d059d311cc276f2a49f976a2d4254280ac39f2c","386","385","1","383","2","0","2605","True","False"
"Special-World","SW","2875587269","2875587269|24","5d059d311cc276f2a49f976a2d4254280ac39f2c","386","385","1","378","3","4","2605","True","False"
"Special-World","SW","2875587269","2875587269|25","8cff9607cb4a5bbf4772156f15f62b5564764df4","382","381","1","381","0","0","2794","True","True"
