"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationPriority","State","AttemptCount","CompletedAt","VerificationStatus","MatchedGitCommitShas","DownloadMethod","ErrorMessage"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:38:09","UNIQUE_PROJECTED_GIT_MATCH","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","CHROME_CDP",""
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:35:22","UNIQUE_PROJECTED_GIT_MATCH","2e2602f56ee08890cc915690989b121c299ca8d0","ANALYSIS08_CACHE",""
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:38:34","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"Culture-Expanded","CE","2829397295","2829397295|2","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:39:36","UNIQUE_PROJECTED_GIT_MATCH","0804f6a73ecb93a2bfc8b048ae2730c242388a92","CHROME_CDP",""
"Culture-Expanded","CE","2829397295","2829397295|3","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:36:27","UNIQUE_PROJECTED_GIT_MATCH","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","ANALYSIS08_CACHE",""
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:36:32","UNIQUE_PROJECTED_GIT_MATCH","dbebe469551c494e9481693a5ef74dcc847c77b7","ANALYSIS08_CACHE",""
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:39:40","UNIQUE_PROJECTED_GIT_MATCH","25284d7351b6cdc292cdccb3ceed15ef5336622f","CHROME_CDP",""
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:39:44","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:39:48","UNIQUE_PROJECTED_GIT_MATCH","4ce6ce712925f0b928664bfbda395ca2b98fda0d","CHROME_CDP",""
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:39:51","UNIQUE_PROJECTED_GIT_MATCH","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","CHROME_CDP",""
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:48:31","UNIQUE_PROJECTED_GIT_MATCH","89af2c6f05c3e771a5d540012639759e8bdbb804","CHROME_CDP",""
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 01:46:05","MULTIPLE_PROJECTED_GIT_MATCHES","01623125ad685892e015bde075febb957368e178|e22986746fdb4b6cca0724d22e5a4089c1ada711","CHROME_CDP",""
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:03:23","UNIQUE_PROJECTED_GIT_MATCH","bea606d31f179e2f4e6552ab88b613bbe6bf4619","CHROME_CDP",""
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:19:29","UNIQUE_PROJECTED_GIT_MATCH","541b16c138e3574ce547b5a4a43ef3cfdf215854","CHROME_CDP",""
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:34:32","NO_PROJECTED_GIT_MATCH","","CHROME_CDP",""
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","P0_AMBIGUOUS","COMPLETE","2","08/19/2026 00:37:03","UNIQUE_PROJECTED_GIT_MATCH","c86a00c074ec2900035bcd8cca81c850b38d6a3c","ANALYSIS08_CACHE",""
"MPE","MPE","3726274827","3726274827|2","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:36:30","UNIQUE_PROJECTED_GIT_MATCH","3273a06395ca26775180f80c19adcba89fbe4fe3","CHROME_CDP",""
"MPE","MPE","3726274827","3726274827|4","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:38:32","UNIQUE_PROJECTED_GIT_MATCH","2b645ef19806ff0fc1030944bba5f607da2e25d8","CHROME_CDP",""
"MPE","MPE","3726274827","3726274827|5","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:40:31","UNIQUE_PROJECTED_GIT_MATCH","bda26e2f7f05946fad97191229afe72c6d9a3f9e","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|1","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 02:46:35","UNIQUE_PROJECTED_GIT_MATCH","9a3484844539b6a48bad484b98d189216412077d","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|2","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:03:24","UNIQUE_PROJECTED_GIT_MATCH","9a8ce64d80233a6e638a628b3db4bbcea64c3ebb","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|3","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:09:45","UNIQUE_PROJECTED_GIT_MATCH","4615a5c22b57137e721bbc088bf3847b0b524045","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|4","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:18:05","UNIQUE_PROJECTED_GIT_MATCH","d3f0ed7d2ba5c7fe349d23e4c90bd7bfdf25b5a4","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|5","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:26:08","UNIQUE_PROJECTED_GIT_MATCH","857b1d0f4a5be85306d3c9bc9658f8da21a8b0d7","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|6","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:32:07","UNIQUE_PROJECTED_GIT_MATCH","e2f5f564b25bd86dd6517cc40bf7442475aed41c","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|7","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:40:43","UNIQUE_PROJECTED_GIT_MATCH","49e14a0204f299d58a4faa2d0ea74d21a1fbbcd5","CHROME_CDP",""
"RICE","RICE","2273832430","2273832430|8","P0_AMBIGUOUS","COMPLETE","1","08/19/2026 10:48:35","UNIQUE_PROJECTED_GIT_MATCH","9e37de2ebb79670977fa6a1f7ac4c334f2b6400f","CHROME_CDP",""
