"Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","RelatedSteamEventCount","RelatedSteamEventKeys","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","VerificationStatus","Analysis07Reason"
"Community-Flavor-Pack","CFP","2220098919","2220098919|3","1","2220098919|3","1","1","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","1","3206891770|3","1","1","2e2602f56ee08890cc915690989b121c299ca8d0","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","1","3206891770|13","1","0","","NO_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"Culture-Expanded","CE","2829397295","2829397295|2","1","2829397295|2","1","1","0804f6a73ecb93a2bfc8b048ae2730c242388a92","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"Culture-Expanded","CE","2829397295","2829397295|3","1","2829397295|4","2","1","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"EPE-CFP","EPE-CFP","2996881191","2996881191|3","1","2996881191|3","2","1","dbebe469551c494e9481693a5ef74dcc847c77b7","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"EPE-CFP","EPE-CFP","2996881191","2996881191|6","1","2996881191|7","1","1","25284d7351b6cdc292cdccb3ceed15ef5336622f","UNIQUE_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates"
"EPE-CFP","EPE-CFP","2996881191","2996881191|7","1","2996881191|8","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"EPE-CFP","EPE-CFP","2996881191","2996881191|8","1","2996881191|9","2","1","4ce6ce712925f0b928664bfbda395ca2b98fda0d","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"EPE-CFP","EPE-CFP","2996881191","2996881191|9","1","2996881191|12","2","1","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","1","2507209632|3","3","1","89af2c6f05c3e771a5d540012639759e8bdbb804","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","1","2507209632|7","3","2","01623125ad685892e015bde075febb957368e178|e22986746fdb4b6cca0724d22e5a4089c1ada711","MULTIPLE_PROJECTED_GIT_MATCHES","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","1","2507209632|10","3","1","bea606d31f179e2f4e6552ab88b613bbe6bf4619","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","1","2507209632|12","2","1","541b16c138e3574ce547b5a4a43ef3cfdf215854","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","1","2507209632|15","1","0","","NO_PROJECTED_GIT_MATCH","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","1","2543865921|5","1","1","c86a00c074ec2900035bcd8cca81c850b38d6a3c","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"MPE","MPE","3726274827","3726274827|2","1","3726274827|2","1","1","3273a06395ca26775180f80c19adcba89fbe4fe3","UNIQUE_PROJECTED_GIT_MATCH","steam-git-event-ambiguity"
"MPE","MPE","3726274827","3726274827|4","1","3726274827|5","3","1","2b645ef19806ff0fc1030944bba5f607da2e25d8","UNIQUE_PROJECTED_GIT_MATCH","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
