"EventKey","Repo","Abbreviation","WorkshopId","SkymodsRevisionKey","VerificationStatus","CandidateGitCommitCount","ExactProjectedGitMatchCount","MatchedGitCommitShas","DescriptorWorkshopIdMatches","DescriptorCountInArchive","DescriptorRemoteFileId","AlignmentFound","DominantTemporalAlignment","BidirectionalUniqueAlignment","TemporalPairStatus","ObservedOffsetHours","ArchiveSha256","DuplicateArchiveCount","DuplicateArchiveRevisionKeys","DescriptorOnlyNearMatchCount","DescriptorOnlyNearMatchGitShas","Analysis07Reason"
"2220098919|3","Community-Flavor-Pack","CFP","2220098919","2220098919|3","UNIQUE_PROJECTED_GIT_MATCH","1","1","115aefd26240f208fe4a9ce7ab3c867ca1e6a8ea","True","1","2220098919","True","True","True","BIDIRECTIONAL_UNIQUE","8","2fda79b5c4bc80de76c37a7a35ebd266a78546edca0512f53658882a073114ed","1","2220098919|3","0","","steam-git-event-ambiguity"
"3206891770|3","Culture-and-Faith-Granularity","CFG","3206891770","3206891770|2","UNIQUE_PROJECTED_GIT_MATCH","1","1","2e2602f56ee08890cc915690989b121c299ca8d0","True","1","3206891770","True","True","True","BIDIRECTIONAL_UNIQUE","8","cb2d37d94e98c95a4597af10e2b28798e486343349a56dccc71c1896c5f05ccc","1","3206891770|2","0","","steam-git-event-ambiguity"
"3206891770|13","Culture-and-Faith-Granularity","CFG","3206891770","3206891770|11","NO_PROJECTED_GIT_MATCH","1","0","","True","1","3206891770","True","True","True","BIDIRECTIONAL_UNIQUE","7","333b11faf92e3bf83a97a79fe6404d57603028fe026bff6f2612542b6669b3d2","1","3206891770|11","1","3b866d6489ab4552cf501aebce5f7836c90c45a5","steam-git-event-ambiguity"
"2829397295|2","Culture-Expanded","CE","2829397295","2829397295|2","UNIQUE_PROJECTED_GIT_MATCH","1","1","0804f6a73ecb93a2bfc8b048ae2730c242388a92","True","1","2829397295","True","True","True","BIDIRECTIONAL_UNIQUE","7","633492efc35793be4629f85e74325ca4842abe4bb9c8412a0e7b0aa441edb390","1","2829397295|2","0","","steam-git-event-ambiguity"
"2829397295|4","Culture-Expanded","CE","2829397295","2829397295|3","UNIQUE_PROJECTED_GIT_MATCH","2","1","8a0cffb5c6f82b7addeb8e91e25799b95d3689ae","True","1","2829397295","True","True","True","BIDIRECTIONAL_UNIQUE","7","da28c5050f2e552bf2a0e914218b963e8e68ea0340edb89d89b045c7f37e0798","1","2829397295|3","0","","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2996881191|3","EPE-CFP","EPE-CFP","2996881191","2996881191|3","UNIQUE_PROJECTED_GIT_MATCH","2","1","dbebe469551c494e9481693a5ef74dcc847c77b7","True","1","2996881191","True","True","True","BIDIRECTIONAL_UNIQUE","7","013cb80cef1d3a2bd2b2682574e4d5f3f46be48c46054dd3f8b577baaf3cade8","1","2996881191|3","0","","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2996881191|7","EPE-CFP","EPE-CFP","2996881191","2996881191|6","UNIQUE_PROJECTED_GIT_MATCH","1","1","25284d7351b6cdc292cdccb3ceed15ef5336622f","True","1","2996881191","True","True","True","BIDIRECTIONAL_UNIQUE","8","512e0bad8d31063278a2a176d40a4bd40b1b9a0cbba102659e98b2c0b26458fd","1","2996881191|6","0","","git-commit-has-multiple-archive-candidates"
"2996881191|8","EPE-CFP","EPE-CFP","2996881191","2996881191|7","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2996881191","True","True","True","BIDIRECTIONAL_UNIQUE","8","f8982f70f2bc83986a61e8a3344f75ae0a31933010cfa4876c69653aab67fd5c","1","2996881191|7","1","25284d7351b6cdc292cdccb3ceed15ef5336622f","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2996881191|9","EPE-CFP","EPE-CFP","2996881191","2996881191|8","UNIQUE_PROJECTED_GIT_MATCH","2","1","4ce6ce712925f0b928664bfbda395ca2b98fda0d","True","1","2996881191","True","True","True","BIDIRECTIONAL_UNIQUE","8","a8222e1d4c723d5598aa41725ac039367af6055051577176f14605ae5fb8e92c","1","2996881191|8","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2996881191|12","EPE-CFP","EPE-CFP","2996881191","2996881191|9","UNIQUE_PROJECTED_GIT_MATCH","2","1","821c8f1f68c5aa8245e3653bff2d275e2a43fd3f","True","1","2996881191","True","True","True","BIDIRECTIONAL_UNIQUE","8","333dd765e0f6536f1b354547b290e36a8e451393c8302fd71154b8fa01f6a223","1","2996881191|9","0","","archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; git-candidate-not-unique-top"
"2507209632|3","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|3","UNIQUE_PROJECTED_GIT_MATCH","3","1","89af2c6f05c3e771a5d540012639759e8bdbb804","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","7","b9773fc694ad793b4f74be2ab7bb409119f22788aa5ad12cbd70cd0f468a33cc","1","2507209632|3","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2507209632|7","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|4","MULTIPLE_PROJECTED_GIT_MATCHES","3","2","01623125ad685892e015bde075febb957368e178|e22986746fdb4b6cca0724d22e5a4089c1ada711","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","7","c27ef982ba62ba6e6ffb2900b6e4ef4786ca268bbf1a7e2e606a894eaf0f325f","1","2507209632|4","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2507209632|10","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|7","UNIQUE_PROJECTED_GIT_MATCH","3","1","bea606d31f179e2f4e6552ab88b613bbe6bf4619","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","8","1834f10496230b4957fa15fa73661dcb538af40d890aba320e1793176fec21d3","1","2507209632|7","0","","archive-candidate-for-multiple-git-commits; archive-candidate-for-multiple-git-commits; git-candidate-not-unique-top"
"2507209632|12","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|8","UNIQUE_PROJECTED_GIT_MATCH","2","1","541b16c138e3574ce547b5a4a43ef3cfdf215854","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","8","7ee59b0a3c0a8459a298f9b466bf87f43aa7c9447c50ecbf7c0d91d3b0dfe384","1","2507209632|8","0","","archive-candidate-for-multiple-git-commits; steam-git-event-ambiguity; archive-candidate-for-multiple-git-commits; git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity; git-candidate-not-unique-top"
"2507209632|15","Ethnicities-and-Portraits-Expanded","EPE","2507209632","2507209632|9","NO_PROJECTED_GIT_MATCH","1","0","","True","1","2507209632","True","True","True","BIDIRECTIONAL_UNIQUE","8","b8551ccd90df77550b96c73424efec8ede854d674495a2a118d0690e8e99aedd","1","2507209632|9","1","b36c5a961967d25e197c816b18a6aaf7eaa0428c","git-commit-has-multiple-archive-candidates; steam-git-event-ambiguity"
"2543865921|5","MBP-EPE-CFP","MBP-EPE-CFP","2543865921","2543865921|3","UNIQUE_PROJECTED_GIT_MATCH","1","1","c86a00c074ec2900035bcd8cca81c850b38d6a3c","True","1","2543865921","True","True","True","BIDIRECTIONAL_UNIQUE","7","46cf8459443da6108268d72be63d666804d25f2fae409bb5df90cbb9e5ce7584","1","2543865921|3","0","","steam-git-event-ambiguity"
"3726274827|2","MPE","MPE","3726274827","3726274827|2","UNIQUE_PROJECTED_GIT_MATCH","1","1","3273a06395ca26775180f80c19adcba89fbe4fe3","True","1","3726274827","True","True","True","BIDIRECTIONAL_UNIQUE","7","9135bce9f6b8133a9db25f8c5334946c233f9c326dec2b594fce2e9151f6b535","1","3726274827|2","0","","steam-git-event-ambiguity"
